iter	RMSE
0	0.4903114848
1	0.4863304536
2	0.4828689334
3	0.4798963832
4	0.4769286108
5	0.4740280586
6	0.4714956243
7	0.469572844
8	0.4677696045
9	0.465828408
10	0.4639119281
11	0.4620560089
12	0.4605722285
13	0.4590785768
14	0.457675505
15	0.4563043717
16	0.4552985208
17	0.4543236817
18	0.4534695559
19	0.452912314
20	0.452193807
21	0.4514853566
22	0.4506852479
23	0.4501213314
24	0.4494874465
25	0.4488716162
26	0.4483047443
27	0.4478249467
28	0.4474307124
29	0.4468865603
30	0.446297859
31	0.4457742804
32	0.4453640852
33	0.4449549659
34	0.4445105688
35	0.4441495259
36	0.4438879183
37	0.4435313764
38	0.4433307024
39	0.4431256351
40	0.4428700852
41	0.4427040068
42	0.4425341151
43	0.4422852594
44	0.4418338091
45	0.4415505551
46	0.4413843677
47	0.4412170494
48	0.4410533842
49	0.4407704456
50	0.4404321724
51	0.4402647137
52	0.4401056305
53	0.439795133
54	0.4396383261
55	0.439374976
56	0.4392911934
57	0.4391410271
58	0.4390559271
59	0.4389049752
60	0.4386797526
61	0.4385538436
62	0.4382951592
63	0.4380951838
64	0.4379613728
65	0.4379198527
66	0.4378207629
67	0.437539839
68	0.4373469083
69	0.4373114868
70	0.43723113
71	0.4370701144
72	0.4369411879
73	0.4367938494
74	0.436739411
75	0.4366657964
76	0.4365714827
77	0.4364863803
78	0.4364535456
79	0.4363330561
80	0.436223826
81	0.4361202251
82	0.4359615749
83	0.4359236301
84	0.4358377416
85	0.435795367
86	0.4357082212
87	0.4356445355
88	0.4356364476
89	0.4355469672
90	0.4354776614
91	0.4354398059
92	0.4353456233
93	0.4352417934
94	0.4352013833
95	0.4351770961
96	0.4350623756
97	0.435037302
98	0.4350243189
99	0.4349725762
100	0.4349608917
101	0.4349385524
102	0.4348869518
103	0.4347533675
104	0.4346765894
105	0.4346100073
106	0.4345218586
107	0.434439343
108	0.4343404279
109	0.4342853603
110	0.4342228135
111	0.4341461513
112	0.4340967059
113	0.4340875398
114	0.4340600608
115	0.4339551019
116	0.4339366768
117	0.4339182935
118	0.4338749793
119	0.4337917552
120	0.4337907066
121	0.4337158046
122	0.4336928731
123	0.4336793553
124	0.4336402772
125	0.4335643021
126	0.4335538952
127	0.43353219
128	0.4334890065
129	0.4334086343
130	0.4333548963
131	0.4333182259
132	0.4333103693
133	0.4332072107
134	0.4331474401
135	0.4331057894
136	0.4330032764
137	0.4328917493
138	0.4328541231
139	0.4328129593
140	0.4327918535
141	0.4327097934
142	0.4326619356
143	0.4326312234
144	0.4325750884
145	0.4324711275
146	0.4324242584
147	0.4323992532
148	0.432306159
149	0.4322302292
150	0.4322056497
151	0.4321923172
152	0.4320917693
153	0.4320730599
154	0.4319829456
155	0.4319364724
156	0.4318652189
157	0.4318413497
158	0.4317387468
159	0.4316507121
160	0.4316500227
161	0.4315987847
162	0.4315368051
163	0.4314923416
164	0.4314193458
165	0.4313747173
166	0.4313377857
167	0.4313291395
168	0.431266535
169	0.4311648836
170	0.431080479
171	0.4310544707
172	0.4310281182
173	0.4309995264
174	0.4309453643
175	0.4308795597
176	0.430786431
177	0.4307054912
178	0.4306765426
179	0.4305669589
180	0.4305214085
181	0.4305112348
182	0.4304326127
183	0.4303794431
184	0.4303738731
185	0.4302662979
186	0.4302114737
187	0.4301859003
188	0.4301787621
189	0.4301640153
190	0.4300681531
191	0.429972207
192	0.4299653503
193	0.4299491596
194	0.4298357438
195	0.4296937885
196	0.4296823975
197	0.4295446349
198	0.4294583435
199	0.4293642299
200	0.4293448111
201	0.4292544049
202	0.4292063634
203	0.4291225926
204	0.4290955045
205	0.4290589391
206	0.4290399813
207	0.4290191642
208	0.4290037882
209	0.4289486283
210	0.4288728682
211	0.4288631177
212	0.4287874372
213	0.4287760902
214	0.4287445325
215	0.4286625757
216	0.428618652
217	0.4284656966
218	0.4284607714
219	0.4283992006
220	0.4283875791
221	0.4283794838
222	0.4282827413
223	0.4282191795
224	0.4281304458
225	0.4280461776
226	0.428038522
227	0.4279893248
228	0.4279592391
229	0.4279037793
230	0.4278760289
231	0.4278287272
232	0.4277771778
233	0.4277166112
234	0.4276438841
235	0.4275618658
236	0.4275425627
237	0.4274920837
238	0.4274261395
239	0.4273268018
240	0.4272851355
241	0.4272386822
242	0.4271560081
243	0.4271156922
244	0.4270771415
245	0.427046677
246	0.426985298
247	0.4269210742
248	0.4268668538
249	0.4267713911
250	0.4266787546
251	0.4266707221
252	0.4266279523
253	0.4266161451
254	0.4265072526
255	0.4264502499
256	0.4264262154
257	0.4263852478
258	0.4263344396
259	0.4263009969
260	0.4262406353
261	0.4261566812
262	0.4260854754
263	0.4260620531
264	0.4259900155
265	0.4259475638
266	0.4259197927
267	0.4258673987
268	0.4258373811
269	0.4257394311
270	0.4256948609
271	0.4256278195
272	0.4255830527
273	0.4255413455
274	0.4255026481
275	0.4254721342
276	0.425441671
277	0.4254275441
278	0.4253987506
279	0.4253507472
280	0.4252773581
281	0.4252587977
282	0.4251995096
283	0.4251332945
284	0.4250525102
285	0.4249919405
286	0.4249384101
287	0.4249236235
288	0.4248292578
289	0.4247945384
290	0.4247709988
291	0.4247656216
292	0.4246712124
293	0.4246274319
294	0.4246041567
295	0.4245527315
296	0.4244649345
297	0.4244388835
298	0.4243702864
299	0.4243385264
300	0.4242790076
301	0.4242424296
302	0.4241831965
303	0.424119403
304	0.4240502599
305	0.4239846011
306	0.4239414559
307	0.4239052621
308	0.4238649776
309	0.4238360953
310	0.4237877604
311	0.4237456394
312	0.4237225596
313	0.4236233874
314	0.423558955
315	0.4235087469
316	0.4234709872
317	0.4234405304
318	0.4234040773
319	0.4233691939
320	0.4232933543
321	0.4232119196
322	0.4231606788
323	0.4230855984
324	0.4230557146
325	0.4229820446
326	0.4229565299
327	0.4228896643
328	0.4228602327
329	0.422780909
330	0.4227025927
331	0.4226573087
332	0.4225434312
333	0.4224573345
334	0.422422101
335	0.4223913932
336	0.422371495
337	0.4223288865
338	0.4223006751
339	0.4222567234
340	0.4222051317
341	0.4221520649
342	0.4220715657
343	0.4220090866
344	0.4219940216
345	0.4219355729
346	0.4219175741
347	0.4218911057
348	0.4218643996
349	0.4218411995
350	0.4218133239
351	0.4217953718
352	0.4217870896
353	0.421781737
354	0.4217499562
355	0.4217334911
356	0.4216477454
357	0.4215800474
358	0.4215154785
359	0.4214498302
360	0.421448651
361	0.4214005339
362	0.4213608638
363	0.4213183162
364	0.4212583895
365	0.4212265655
366	0.4212018547
367	0.4211855493
368	0.4211324748
369	0.421120058
370	0.4210886036
371	0.4210718298
372	0.4210632805
373	0.4209696835
374	0.4209253612
375	0.4208835932
376	0.4208796842
377	0.4208284975
