iter	Passed	Remaining
0	54	54004
1	59	29906
2	73	24408
3	85	21205
4	104	20780
5	124	20563
6	137	19527
7	155	19264
8	174	19229
9	188	18683
10	209	18849
11	237	19565
12	252	19137
13	263	18525
14	272	17911
15	285	17558
16	294	17051
17	309	16897
18	323	16688
19	328	16113
20	346	16139
21	360	16023
22	377	16032
23	387	15741
24	402	15700
25	444	16654
26	461	16613
27	472	16396
28	484	16219
29	496	16052
30	502	15722
31	513	15543
32	524	15359
33	538	15294
34	553	15258
35	564	15117
36	579	15093
37	593	15033
38	609	15010
39	622	14947
40	638	14925
41	654	14918
42	671	14944
43	690	14995
44	705	14981
45	713	14788
46	729	14798
47	746	14797
48	755	14664
49	766	14554
50	769	14322
51	780	14226
52	785	14038
53	793	13894
54	801	13778
55	813	13705
56	828	13701
57	840	13658
58	852	13598
59	875	13718
60	899	13842
61	913	13816
62	930	13836
63	953	13938
64	967	13917
65	992	14050
66	1016	14156
67	1033	14169
68	1040	14045
69	1052	13985
70	1067	13968
71	1077	13884
72	1096	13924
73	1104	13821
74	1115	13752
75	1135	13807
76	1141	13679
77	1154	13642
78	1166	13595
79	1170	13455
80	1175	13339
81	1187	13293
82	1214	13412
83	1217	13278
84	1224	13181
85	1237	13155
86	1244	13061
87	1248	12936
88	1258	12879
89	1269	12831
90	1281	12803
91	1288	12718
92	1304	12723
93	1321	12739
94	1334	12709
95	1338	12605
96	1348	12549
97	1358	12499
98	1377	12537
99	1387	12491
100	1402	12484
101	1413	12441
102	1428	12438
103	1440	12411
104	1445	12323
105	1453	12255
106	1462	12209
107	1479	12221
108	1503	12293
109	1510	12219
110	1526	12229
111	1548	12275
112	1563	12272
113	1573	12229
114	1581	12168
115	1597	12175
116	1607	12131
117	1619	12106
118	1636	12116
119	1648	12086
120	1651	11995
121	1662	11962
122	1691	12058
123	1702	12025
124	1713	11994
125	1730	12003
126	1741	11968
127	1752	11939
128	1760	11888
129	1774	11878
130	1782	11826
131	1790	11774
132	1806	11778
133	1819	11761
134	1828	11713
135	1841	11700
136	1856	11695
137	1865	11649
138	1884	11671
139	1902	11684
140	1922	11712
141	1932	11676
142	1943	11648
143	1954	11617
144	1967	11603
145	1971	11532
146	1987	11534
147	2000	11515
148	2012	11491
149	2023	11466
150	2032	11428
151	2043	11402
152	2057	11388
153	2061	11323
154	2072	11295
155	2085	11282
156	2100	11275
157	2108	11238
158	2132	11277
159	2144	11258
160	2154	11226
161	2165	11201
162	2180	11195
163	2191	11169
164	2204	11158
165	2214	11126
166	2232	11135
167	2247	11128
168	2262	11127
169	2273	11100
170	2299	11147
171	2317	11156
172	2329	11137
173	2343	11125
174	2359	11124
175	2373	11113
176	2379	11063
177	2390	11039
178	2403	11023
179	2418	11016
180	2430	10997
181	2442	10978
182	2454	10957
183	2470	10956
184	2480	10926
185	2484	10874
186	2501	10877
187	2516	10867
188	2532	10867
189	2547	10861
190	2566	10869
191	2573	10830
192	2580	10789
193	2591	10764
194	2607	10762
195	2613	10721
196	2632	10730
197	2640	10694
198	2652	10675
199	2660	10643
200	2673	10627
201	2679	10583
202	2683	10537
203	2689	10493
204	2694	10449
205	2707	10436
206	2720	10422
207	2729	10394
208	2733	10345
209	2753	10359
210	2766	10343
211	2789	10368
212	2800	10349
213	2811	10328
214	2822	10304
215	2837	10300
216	2851	10288
217	2865	10278
218	2878	10265
219	2896	10271
220	2916	10279
221	2929	10267
222	2941	10250
223	2959	10254
224	2974	10244
225	2995	10258
226	3004	10232
227	3013	10202
228	3025	10186
229	3047	10201
230	3054	10168
231	3076	10185
232	3092	10179
233	3107	10170
234	3116	10144
235	3127	10124
236	3146	10129
237	3161	10123
238	3177	10116
239	3198	10129
240	3205	10094
241	3209	10051
242	3224	10044
243	3239	10036
244	3253	10026
245	3268	10017
246	3297	10053
247	3312	10044
248	3323	10022
249	3343	10029
250	3359	10024
251	3374	10015
252	3391	10014
253	3399	9984
254	3406	9952
255	3418	9934
256	3434	9928
257	3446	9910
258	3474	9939
259	3489	9930
260	3504	9923
261	3519	9913
262	3531	9896
263	3546	9888
264	3555	9860
265	3563	9833
266	3569	9800
267	3577	9771
268	3593	9765
269	3604	9744
270	3612	9717
271	3615	9677
272	3619	9638
273	3631	9621
274	3642	9602
275	3654	9585
276	3673	9587
277	3689	9582
278	3699	9560
279	3723	9574
280	3741	9572
281	3754	9560
282	3765	9539
283	3779	9529
284	3798	9529
285	3814	9523
286	3827	9508
287	3834	9479
288	3851	9475
289	3862	9456
290	3883	9463
291	3899	9455
292	3908	9431
293	3917	9407
294	3930	9393
295	3950	9395
296	3966	9388
297	3980	9376
298	3996	9370
299	4013	9363
300	4024	9344
301	4041	9340
302	4059	9339
303	4065	9307
304	4073	9282
305	4090	9276
306	4096	9247
307	4101	9214
308	4121	9216
309	4140	9216
310	4149	9193
311	4167	9189
312	4179	9172
313	4183	9139
314	4192	9116
315	4209	9111
316	4222	9097
317	4239	9091
318	4259	9092
319	4278	9091
320	4292	9078
321	4305	9065
322	4319	9053
323	4326	9026
324	4352	9039
325	4368	9032
326	4392	9040
327	4399	9012
328	4412	8998
329	4428	8991
330	4445	8985
331	4462	8979
332	4472	8958
333	4497	8967
334	4521	8974
335	4534	8961
336	4546	8944
337	4565	8942
338	4572	8916
339	4582	8894
340	4593	8877
341	4607	8863
342	4619	8848
343	4623	8817
344	4635	8800
345	4653	8796
346	4671	8790
347	4682	8773
348	4701	8770
349	4717	8760
350	4731	8749
351	4739	8724
352	4749	8704
353	4761	8689
354	4784	8693
355	4809	8699
356	4816	8675
357	4837	8674
358	4850	8660
359	4867	8654
360	4882	8642
361	4897	8630
362	4905	8607
363	4915	8588
364	4928	8574
365	4938	8554
366	4948	8535
367	4980	8553
368	4996	8543
369	5013	8537
370	5030	8529
371	5037	8504
372	5056	8500
373	5069	8485
374	5075	8459
375	5078	8428
376	5081	8397
377	5095	8385
378	5115	8381
379	5124	8360
380	5137	8346
381	5150	8332
382	5161	8315
383	5167	8289
384	5197	8302
385	5208	8285
386	5234	8290
387	5248	8278
388	5264	8268
389	5276	8253
390	5294	8246
391	5310	8236
392	5322	8220
393	5339	8212
394	5352	8197
395	5360	8176
396	5369	8155
397	5388	8150
398	5409	8148
399	5429	8143
400	5445	8133
401	5459	8121
402	5474	8109
403	5492	8102
404	5501	8082
405	5510	8062
406	5525	8051
407	5535	8031
408	5546	8015
409	5557	7997
410	5569	7981
411	5592	7981
412	5605	7967
413	5610	7941
414	5637	7946
415	5652	7934
416	5667	7923
417	5681	7910
418	5693	7894
419	5704	7877
420	5714	7859
421	5725	7842
422	5733	7820
423	5742	7801
424	5758	7791
425	5781	7790
426	5794	7776
427	5813	7769
428	5824	7751
429	5836	7736
430	5851	7725
431	5865	7711
432	5876	7695
433	5889	7680
434	5892	7653
435	5902	7635
436	5913	7618
437	5924	7601
438	5949	7602
439	5963	7589
440	5975	7574
441	5989	7561
442	6006	7552
443	6025	7545
444	6045	7540
445	6064	7533
446	6085	7528
447	6096	7512
448	6118	7508
449	6131	7494
450	6139	7473
451	6155	7462
452	6170	7450
453	6181	7433
454	6190	7414
455	6194	7390
456	6204	7372
457	6217	7358
458	6228	7341
459	6240	7326
460	6249	7306
461	6269	7300
462	6274	7277
463	6298	7275
464	6309	7259
465	6323	7246
466	6333	7228
467	6347	7215
468	6365	7207
469	6377	7191
470	6387	7173
471	6390	7149
472	6411	7143
473	6427	7132
474	6458	7138
475	6468	7120
476	6483	7108
477	6492	7090
478	6514	7086
479	6523	7067
