,0
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,1
474,1
475,0
476,1
477,0
478,0
479,0
480,1
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,1
532,0
