,0
0,0.7714582
1,0.6067242
2,0.87939906
3,0.94401366
4,0.89466435
5,0.9527954
6,0.97338617
7,0.5509957
8,0.71301377
9,0.8687535
10,0.9477807
11,0.7205635
12,0.792847
13,0.851539
14,0.96412647
15,0.1352049
16,0.09178065
17,0.10046549
18,0.19202934
19,0.3398715
20,0.3245985
21,0.27361727
22,0.23045695
23,0.083141916
24,0.18979412
25,0.10660695
26,0.16214037
27,0.1585555
28,0.18979412
29,0.08307379
30,0.14874995
31,0.7236406
32,0.11035449
33,0.7525113
34,0.3864576
35,0.25846455
36,0.036582716
37,0.7528756
38,0.7872769
39,0.15378441
40,0.18604062
41,0.14194635
42,0.07364017
43,0.15897936
44,0.09828831
45,0.04706379
46,0.97359776
47,0.09726432
48,0.18604062
49,0.032731168
50,0.915758
51,0.52129406
52,0.17614546
53,0.8682211
54,0.05120823
55,0.8214044
56,0.9262773
57,0.07449921
58,0.12587915
59,0.9800689
60,0.06079548
61,0.102218695
62,0.13495688
63,0.7644204
64,0.1399386
65,0.73836464
66,0.06599913
67,0.041500777
68,0.79095024
69,0.8944656
70,0.123091295
71,0.29865253
72,0.95186895
73,0.7432659
74,0.96439904
75,0.18577534
76,0.2038475
77,0.55786395
78,0.96650976
79,0.7255964
80,0.13090523
81,0.6738036
82,0.09203087
83,0.7028915
84,0.5280528
85,0.92980546
86,0.86179614
87,0.9036305
88,0.8855275
89,0.9016876
90,0.3321625
91,0.91155344
92,0.90594023
93,0.7571366
94,0.90170187
95,0.77951205
96,0.12722324
97,0.96339756
98,0.3321625
99,0.18118885
100,0.9847439
101,0.2870895
102,0.08908579
103,0.094767965
104,0.043737296
105,0.079908445
106,0.043737296
107,0.15660983
108,0.047144707
109,0.15996519
110,0.4844539
111,0.15628698
112,0.2939041
113,0.3854837
114,0.043737296
115,0.043737296
116,0.043737296
117,0.30136648
118,0.043737296
119,0.043737296
120,0.17992978
121,0.17623062
122,0.1477927
123,0.5427766
124,0.12442681
125,0.036622304
126,0.058608532
127,0.09592504
128,0.03737782
129,0.14091168
130,0.10691201
131,0.3854837
132,0.042755578
133,0.17213653
134,0.10871564
135,0.05261602
136,0.9799801
137,0.85237163
138,0.34309137
139,0.9761016
140,0.4810086
141,0.88242394
142,0.8763188
143,0.9565647
144,0.99449956
145,0.9565647
146,0.9701322
147,0.9641072
148,0.9431394
149,0.15247478
150,0.57109916
151,0.97716296
152,0.93224615
153,0.9565647
154,0.9565647
155,0.90503067
156,0.9622572
157,0.8115089
158,0.9506036
159,0.9761016
160,0.8423599
161,0.7342422
162,0.9326152
163,0.25222307
164,0.9641072
165,0.5011104
166,0.28859305
167,0.4617025
168,0.97569025
169,0.88458145
170,0.96810573
171,0.6591677
172,0.9941024
173,0.8783717
174,0.9946188
175,0.16866037
176,0.8897837
177,0.9941024
178,0.040076926
179,0.18493302
180,0.10297334
181,0.058030587
182,0.9938168
183,0.9941024
184,0.23867361
185,0.056599174
186,0.040076926
187,0.96159965
188,0.15890609
189,0.19274114
190,0.9941024
191,0.9941024
192,0.040076926
193,0.040076926
194,0.14542426
195,0.48903814
196,0.9946188
197,0.9941024
198,0.07863057
199,0.06744807
200,0.1412078
201,0.9941024
202,0.9941024
203,0.9941024
204,0.9941024
205,0.1881229
206,0.099155776
207,0.9941024
208,0.17309193
209,0.08102507
210,0.06348584
211,0.17971301
212,0.31008747
213,0.13133202
214,0.35662654
215,0.19446835
216,0.07451073
217,0.03275883
218,0.91250926
219,0.11483459
220,0.91250926
221,0.20916624
222,0.19301875
223,0.2885921
224,0.44875482
225,0.68272036
226,0.08544982
227,0.860732
228,0.07451073
229,0.64999884
230,0.86241615
231,0.17314588
232,0.09778195
233,0.049935944
234,0.35100943
235,0.117627285
236,0.109212935
237,0.058374453
238,0.91250926
239,0.85920376
240,0.12134325
241,0.01706807
242,0.22228624
243,0.7620286
244,0.3193853
245,0.35700572
246,0.34760684
247,0.61158395
248,0.52147245
249,0.6755627
250,0.34760684
251,0.34760684
252,0.11817911
253,0.34760684
254,0.09859155
255,0.18962114
256,0.6499307
257,0.40022424
258,0.13057853
259,0.34760684
260,0.118117414
261,0.09582218
262,0.40022424
263,0.07759008
264,0.6645169
265,0.18018779
266,0.34760684
267,0.072607964
268,0.14452311
269,0.52147245
270,0.34760684
271,0.34760684
272,0.08339629
273,0.73190606
274,0.24222936
275,0.078901134
276,0.21884096
277,0.6839296
278,0.06638244
279,0.15581417
280,0.1620463
281,0.4363909
