tp_datos_id,tfidf_net_bi
1,0.5641729
4,0.98230255
5,0.8129605
6,0.9830061
7,0.4984041
8,0.9927331
10,0.9927453
13,0.47517756
14,0.722284
15,0.5794721
16,0.9607806
17,0.36645353
18,0.40447265
19,0.95576704
20,0.89533085
23,0.18313214
24,0.119142324
25,0.35467875
26,0.16062936
28,0.40065852
31,0.35710025
32,0.3613847
33,0.031370312
34,0.25249547
36,0.40065852
37,0.19298673
38,0.5280924
39,0.09635469
40,0.40065852
41,0.084418625
44,0.40065855
48,0.40065855
49,0.39191356
50,0.7293856
52,0.23626459
53,0.3456271
54,0.119977355
55,0.5123869
56,0.7083516
57,0.08777988
59,0.2551666
61,0.24322346
62,0.21525714
63,0.40065852
64,0.08162397
65,0.19401032
66,0.92140806
67,0.3566273
68,0.2551666
71,0.15610418
73,0.6068844
74,0.57643956
76,0.4692269
77,0.9306177
78,0.043474674
79,0.63485235
80,0.35558215
81,0.27008474
82,0.14829937
83,0.911487
85,0.3611673
86,0.5221391
89,0.40065855
91,0.82984
92,0.09717339
93,0.7573923
95,0.31948566
96,0.22534096
97,0.7983512
98,0.72301286
100,0.43985787
102,0.6373792
104,0.92420405
105,0.7268416
107,0.85106856
109,0.67210877
110,0.5435661
112,0.9600722
113,0.7891828
114,0.6176323
117,0.37048063
118,0.22415453
119,0.24564332
120,0.42148346
121,0.8874479
126,0.90683466
128,0.6606116
129,0.87442255
130,0.8595116
131,0.6962375
132,0.63223803
133,0.78258705
134,0.93123674
135,0.58508503
136,0.9435928
137,0.6097289
138,0.22225755
139,0.8505945
141,0.43676928
143,0.5269799
144,0.9940771
145,0.52478445
146,0.24226096
149,0.2372413
151,0.09422645
153,0.45570466
156,0.11917415
157,0.5335732
158,0.26654962
159,0.41534352
160,0.30509168
161,0.08344668
162,0.06263077
163,0.026078373
164,0.09422645
165,0.11917415
168,0.09422645
170,0.15720567
171,0.11917415
172,0.11917415
173,0.13583618
174,0.20993748
175,0.034604073
176,0.0137396455
178,0.107361406
180,0.1093663
182,0.07242575
183,0.20138714
184,0.032722592
185,0.043992937
187,0.007060796
190,0.026078373
191,0.06392869
193,0.427053
194,0.27848244
195,0.20802698
196,0.9997587
197,0.79594934
198,0.75809026
199,0.99961245
201,0.47198626
203,0.96278393
204,0.8115827
205,0.99766004
208,0.91064656
209,0.99624497
210,0.9997033
211,0.999555
212,0.92867804
213,0.32835805
215,0.87716615
216,0.99968004
218,0.9745048
219,0.99766004
220,0.99766004
221,0.9880093
222,0.9872272
225,0.77526313
226,0.99947715
229,0.99961245
231,0.97834086
232,0.6752317
235,0.99714124
237,0.73966974
238,0.999555
240,0.915889
241,0.52257335
242,0.8458171
243,0.9005444
244,0.87910914
245,0.83136475
246,0.50639033
247,0.9996985
248,0.959475
249,0.999701
251,0.21769562
252,0.73253524
253,0.9996985
254,0.24231818
256,0.19814289
258,0.3589378
260,0.091169894
261,0.9996393
262,0.9996985
263,0.40065852
264,0.15983924
265,0.24231818
266,0.99430776
267,0.042794645
268,0.40065852
269,0.9996985
270,0.9996985
271,0.24231818
272,0.24231818
273,0.099995464
274,0.1905936
276,0.99978566
277,0.9996985
279,0.23499551
280,0.23848069
281,0.22982898
283,0.9996985
285,0.9996985
287,0.99973917
289,0.99973917
290,0.21856245
291,0.29696694
293,0.9996985
294,0.16487065
296,0.073367774
297,0.022350848
298,0.15522334
299,0.57412076
301,0.10275501
302,0.40065852
303,0.14170924
307,0.2006073
309,0.10425407
310,0.71378344
312,0.08294064
313,0.71378344
314,0.2191368
315,0.12670994
316,0.40181154
318,0.42903242
320,0.64969116
321,0.09139779
322,0.778754
327,0.2006073
328,0.21235248
329,0.3271521
330,0.13785326
331,0.32718867
332,0.39985505
334,0.25261015
335,0.23250031
336,0.44482327
337,0.3137686
338,0.71378344
340,0.3841466
341,0.3963378
344,0.2507381
345,0.09481016
346,0.29468343
347,0.3649606
348,0.46241117
349,0.59262216
352,0.5176308
353,0.266912
354,0.25566715
