,bert_net
0,0.47445577
1,0.46394086
2,0.7980975
3,0.8894682
4,0.73981816
5,0.98268193
6,0.99719614
7,0.21615708
8,0.92034465
9,0.76474833
10,0.94092023
11,0.4989121
12,0.8817965
13,0.9500656
14,0.9899534
15,0.07527208
16,0.08549404
17,0.05777502
18,0.22215253
19,0.02014187
20,0.031455487
21,0.28050333
22,0.048318744
23,0.014351428
24,0.018433928
25,0.06838432
26,0.13695797
27,0.0065700114
28,0.014913678
29,0.025244683
30,0.009613395
31,0.9051908
32,0.14106426
33,0.9263581
34,0.022464037
35,0.5800239
36,0.055762768
37,0.9731688
38,0.9913976
39,0.11993644
40,0.12461966
41,0.10732409
42,0.10205284
43,0.33165413
44,0.60020196
45,0.047160536
46,0.9968555
47,0.13232991
48,0.12461966
49,0.03312415
50,0.974819
51,0.7359823
52,0.7079427
53,0.9939152
54,0.06686744
55,0.98965716
56,0.95172226
57,0.106512725
58,0.42990667
59,0.98294735
60,0.3990351
61,0.1693326
62,0.33370692
63,0.7705029
64,0.2260113
65,0.9673693
66,0.13883579
67,0.11686677
68,0.9125583
69,0.982542
70,0.16531244
71,0.95107013
72,0.9920927
73,0.6263711
74,0.9783433
75,0.37560838
76,0.35006577
77,0.91560555
78,0.9673188
79,0.63545984
80,0.39154506
81,0.31472176
82,0.16409418
83,0.94751626
84,0.9825648
85,0.97416896
86,0.93531245
87,0.93478596
88,0.97266376
89,0.8681705
90,0.66464186
91,0.98824567
92,0.9618809
93,0.7665972
94,0.931931
95,0.9581393
96,0.061170965
97,0.7863965
98,0.35056072
99,0.5266635
100,0.9975214
101,0.27255625
102,0.03948438
103,0.074623466
104,0.12512925
105,0.053741038
106,0.16016573
107,0.02461192
108,0.08220059
109,0.052961618
110,0.18313843
111,0.09763551
112,0.09567344
113,0.25849187
114,0.12440112
115,0.16016579
116,0.124016345
117,0.032478273
118,0.14774573
119,0.14774582
120,0.07099092
121,0.3508587
122,0.20333508
123,0.13491842
124,0.06661168
125,0.037491262
126,0.111074924
127,0.089378566
128,0.22527742
129,0.05093497
130,0.03667137
131,0.110015154
132,0.067272216
133,0.03503394
134,0.06890118
135,0.114412606
136,0.98362863
137,0.9158195
138,0.31678924
139,0.98890567
140,0.5483503
141,0.9888879
142,0.71229607
143,0.99260145
144,0.98990524
145,0.9724265
146,0.99202514
147,0.98334277
148,0.9605243
149,0.12056154
150,0.74595463
151,0.99155253
152,0.7138492
153,0.99581516
154,0.9815494
155,0.99276733
156,0.9816021
157,0.9116906
158,0.9896854
159,0.9922219
160,0.9553661
161,0.98781717
162,0.98137677
163,0.9349926
164,0.98334277
165,0.7904814
166,0.47873336
167,0.71726733
168,0.96318585
169,0.9830742
170,0.9824574
171,0.48464122
172,0.99889016
173,0.9798448
174,0.9980942
175,0.19690534
176,0.9610472
177,0.9995146
178,0.04620412
179,0.23531485
180,0.37804043
181,0.13984665
182,0.999161
183,0.9989959
184,0.17078257
185,0.13982826
186,0.09450969
187,0.9993062
188,0.69297314
189,0.46173447
190,0.99883026
191,0.9994232
