,bert_net
0,0.32577443
1,0.46052676
2,0.6639748
3,0.90862083
4,0.74141335
5,0.9539967
6,0.9858493
7,0.1147649
8,0.8372618
9,0.6356146
10,0.87533677
11,0.45904565
12,0.8815458
13,0.9566751
14,0.9833993
15,0.10325727
16,0.07561958
17,0.049541384
18,0.19525775
19,0.037186682
20,0.031318516
21,0.297813
22,0.047700644
23,0.026012897
24,0.041579604
25,0.059247345
26,0.077647805
27,0.015367746
28,0.037267
29,0.053187788
30,0.015886843
31,0.88387936
32,0.14567679
33,0.8841692
34,0.03234768
35,0.5320196
36,0.07582003
37,0.94696546
38,0.9816078
39,0.10246551
40,0.13446951
41,0.21796599
42,0.13078573
43,0.28020123
44,0.395144
45,0.061495185
46,0.9924047
47,0.23541653
48,0.13446942
49,0.04028797
50,0.9394921
51,0.7186058
52,0.6421094
53,0.9866177
54,0.11683893
55,0.99057317
56,0.9271116
57,0.17338455
58,0.45812088
59,0.9724485
60,0.2745747
61,0.15321419
62,0.30429327
63,0.77619857
64,0.19751364
65,0.93777966
66,0.1722326
67,0.14642349
68,0.8452271
69,0.96152043
70,0.15967548
71,0.91681135
72,0.9840884
73,0.4701356
74,0.9583442
75,0.32535103
76,0.24793601
77,0.8354534
78,0.96544087
79,0.49547392
80,0.28366068
81,0.24906898
82,0.12948427
83,0.9323635
84,0.9576001
85,0.9405515
86,0.8734307
87,0.8090333
88,0.9681602
89,0.8163732
90,0.50190026
91,0.96841586
92,0.89427966
93,0.7032124
94,0.92420006
95,0.916304
96,0.052847147
97,0.7615776
98,0.36991802
99,0.4139547
100,0.9936259
101,0.37939027
102,0.074323714
103,0.09077802
104,0.10070622
105,0.055266798
106,0.123073846
107,0.039264858
108,0.098214865
109,0.094408125
110,0.18033361
111,0.098265946
112,0.09519333
113,0.30897087
114,0.09279975
115,0.123073846
116,0.106690794
117,0.049253583
118,0.1268557
119,0.12685573
120,0.05818507
121,0.34037277
122,0.24267492
123,0.10770604
124,0.116555065
125,0.03448227
126,0.1013743
127,0.12616044
128,0.23777667
129,0.039929926
130,0.04884267
131,0.114755094
132,0.08266324
133,0.024160117
134,0.082617104
135,0.14509988
136,0.96966213
137,0.8604623
138,0.52116036
139,0.98339057
140,0.6079619
141,0.9872674
142,0.8308662
143,0.978734
144,0.98230493
145,0.90954804
146,0.9836862
147,0.96646893
148,0.92213076
149,0.12412211
150,0.5962423
151,0.9846064
152,0.62101114
153,0.9868872
154,0.96110886
155,0.9831717
156,0.96775955
157,0.8357236
158,0.97978246
159,0.9862258
160,0.95008683
161,0.97493434
162,0.9644494
163,0.84569955
164,0.96646893
165,0.6938025
166,0.48417726
167,0.66219836
168,0.94345754
169,0.98140144
170,0.96860915
171,0.4761458
172,0.996616
173,0.95813787
174,0.99588764
175,0.2246243
176,0.91638815
177,0.9988769
178,0.04126972
179,0.2241523
180,0.41584307
181,0.19378287
182,0.99842465
183,0.9974812
184,0.18472221
185,0.121192515
186,0.07291025
187,0.99843156
188,0.53384054
189,0.4600691
190,0.99585676
191,0.9985995
192,0.06389603
193,0.056781262
194,0.38399526
195,0.7231524
196,0.99873024
197,0.99575824
198,0.43858507
199,0.28972238
200,0.7831441
201,0.99687517
202,0.9960401
203,0.9983281
204,0.9982335
205,0.27799731
206,0.12324187
207,0.99568474
208,0.39441833
209,0.0376119
210,0.03547433
211,0.042000502
212,0.18476382
213,0.12026733
214,0.44108123
215,0.41867447
216,0.1755878
217,0.18217608
218,0.97154605
219,0.016140908
220,0.94843775
221,0.58320606
222,0.09003398
223,0.82982993
224,0.6633483
225,0.37061417
226,0.08292997
227,0.68440056
228,0.14448893
229,0.051224023
230,0.20641685
231,0.18566787
232,0.24095216
233,0.12166554
234,0.6578992
235,0.07825363
236,0.08692047
237,0.19049436
238,0.9422396
239,0.97966176
240,0.4069482
241,0.113155365
242,0.032407284
243,0.3440557
244,0.19560564
245,0.4003416
246,0.31949657
247,0.44837925
248,0.5501648
249,0.583917
250,0.6352792
251,0.5260709
252,0.18609315
253,0.6662598
254,0.35105032
255,0.2963477
