,bert_net
0,0.30498195
1,0.87017274
2,0.828323
3,0.94699407
4,0.5210518
5,0.9884403
6,0.9924463
7,0.2529263
8,0.8706201
9,0.5356134
10,0.90501714
11,0.63875246
12,0.9135168
13,0.96120375
14,0.9821662
15,0.017927617
16,0.028171659
17,0.049544215
18,0.1529156
19,0.03797844
20,0.031767666
21,0.24256232
22,0.032638133
23,0.02470842
24,0.04234442
25,0.11792442
26,0.018360049
27,0.010318428
28,0.037878513
29,0.07872984
30,0.012045443
31,0.8781162
32,0.14292371
33,0.953314
34,0.14130405
35,0.5130912
36,0.08385083
37,0.9206821
38,0.9854891
39,0.24117497
40,0.05998051
41,0.46572852
42,0.30656904
43,0.4611059
44,0.8463125
45,0.05930668
46,0.99661297
47,0.28971618
48,0.059980482
49,0.01563117
50,0.94862044
51,0.7836365
52,0.32806975
53,0.9929154
54,0.17945892
55,0.98317677
56,0.92528725
57,0.15570897
58,0.5335946
59,0.99155533
60,0.46560037
61,0.29494908
62,0.16688949
63,0.6849339
64,0.27009505
65,0.9711914
66,0.0789077
67,0.34257063
68,0.8963809
69,0.9733633
70,0.22511703
71,0.86962986
72,0.98449326
73,0.6082964
74,0.86434853
75,0.48242185
76,0.31640482
77,0.97677517
78,0.846316
79,0.6221127
80,0.22406524
81,0.68988556
82,0.13094094
83,0.98356956
84,0.9636141
85,0.970322
86,0.7076666
87,0.7666534
88,0.9678844
89,0.9249407
90,0.40166348
91,0.91300654
92,0.98625374
93,0.94473004
94,0.91530347
95,0.9761056
96,0.07491705
97,0.88221836
98,0.44830364
99,0.56461936
100,0.9941854
101,0.30614626
102,0.041716576
103,0.14018098
104,0.13311827
105,0.12117177
106,0.23471889
107,0.10917115
108,0.047087073
109,0.20648357
110,0.20162237
111,0.075184464
112,0.17413294
113,0.23804852
114,0.17520747
115,0.23471901
116,0.14184007
117,0.25765166
118,0.15960062
119,0.15960065
120,0.08988574
121,0.44918808
122,0.32471856
123,0.039756417
124,0.11050221
125,0.12708986
126,0.13863295
127,0.09875578
128,0.19346863
129,0.112351865
130,0.10678449
131,0.20315018
132,0.070859104
133,0.056023598
134,0.084034085
135,0.13692904
136,0.9924741
137,0.95691216
138,0.5333618
139,0.9931477
140,0.7561364
141,0.9882799
142,0.95928764
143,0.9784171
144,0.99121016
145,0.95803374
146,0.991102
147,0.986323
148,0.8391403
149,0.2860571
150,0.7570679
151,0.992416
152,0.89140785
153,0.9531369
154,0.96937484
155,0.9930438
156,0.99261606
157,0.91734046
158,0.9962652
159,0.9922206
160,0.9611348
161,0.87158036
162,0.9713017
163,0.9498939
164,0.986323
165,0.81433225
166,0.77123404
167,0.5353182
168,0.97074914
169,0.96401995
170,0.9887353
171,0.64773047
172,0.99147123
173,0.99246943
174,0.996014
175,0.25081992
176,0.9380153
177,0.9986631
178,0.08219436
179,0.32328296
180,0.56852126
181,0.11016327
182,0.9918872
183,0.9945224
184,0.105478704
185,0.16457227
186,0.11217734
187,0.9989174
188,0.8036169
189,0.43048477
