,elmo_net
0,0.4500898
1,0.2976581
2,0.8091743
3,0.93095875
4,0.4846193
5,0.96759325
6,0.9998453
7,0.17394683
8,0.6344645
9,0.4646145
10,0.67423093
11,0.9548281
12,0.86538863
13,0.6956781
14,0.8777385
15,0.0432899
16,0.025905222
17,0.04127735
18,0.12675074
19,0.048521906
20,0.0392341
21,0.12717679
22,0.030741036
23,0.03499651
24,0.041390717
25,0.037875116
26,0.078906834
27,0.02080661
28,0.03756073
29,0.024075449
30,0.046348155
31,0.3548099
32,0.04215759
33,0.30637962
34,0.04873815
35,0.30046758
36,0.12495783
37,0.29272416
38,0.7598555
39,0.076286525
40,0.11526081
41,0.3067025
42,0.24067146
43,0.067111164
44,0.15580222
45,0.04847905
46,0.987722
47,0.10613486
48,0.11526081
49,0.025784433
50,0.37353384
51,0.3740315
52,0.46196535
53,0.8221819
54,0.18912858
55,0.87266564
56,0.5779986
57,0.099215984
58,0.20770782
59,0.99122703
60,0.09193605
61,0.117046714
62,0.11280885
63,0.6910613
64,0.17995772
65,0.594854
66,0.13736874
67,0.103740364
68,0.78181946
69,0.9318745
70,0.15987551
71,0.62139153
72,0.7796178
73,0.43433246
74,0.9873557
75,0.368872
76,0.200627
77,0.92199147
78,0.9827926
79,0.5317268
80,0.1546675
81,0.22300199
82,0.045263708
83,0.50941026
84,0.6098166
85,0.99726254
86,0.6108813
87,0.59778994
88,0.9695964
89,0.90789604
90,0.18936637
91,0.5047825
92,0.8411955
93,0.38752708
94,0.72379196
95,0.801314
96,0.24343032
97,0.8801519
98,0.27110308
99,0.24529779
100,0.998198
101,0.34893364
102,0.09056157
103,0.07599828
104,0.09583527
105,0.08249387
106,0.064721495
107,0.061312854
108,0.110306025
109,0.05232677
110,0.11156553
111,0.34704247
112,0.16345665
113,0.5614391
114,0.1494447
115,0.064721495
116,0.087979734
117,0.39532676
118,0.09563273
119,0.09563273
120,0.07617968
121,0.48192978
122,0.3325476
123,0.30324894
124,0.12649202
125,0.027537704
126,0.03631714
127,0.047920436
128,0.036013484
129,0.31020838
130,0.017872185
131,0.5768997
132,0.16972923
133,0.027062744
134,0.044537455
135,0.10243121
136,0.99788475
137,0.84254754
138,0.49403957
139,0.9991046
140,0.32027227
141,0.8827685
142,0.72732663
143,0.9967817
144,0.9917314
145,0.99658763
146,0.9989855
147,0.9997593
148,0.9447229
149,0.08645862
150,0.50980777
151,0.9992175
152,0.9864111
153,0.99542433
154,0.9893795
155,0.97822636
156,0.99999976
157,0.8728535
158,0.9986605
159,0.9989121
160,0.94959736
161,0.9722668
162,0.964631
163,0.5736544
164,0.9997593
165,0.7029508
166,0.39613265
167,0.6554101
168,0.9990976
169,0.99025154
170,0.99418414
171,0.47592098
172,0.981592
173,0.9950497
174,0.9989953
175,0.13437521
176,0.7642704
177,0.9984907
178,0.04977128
179,0.09944469
180,0.13415092
181,0.1533809
182,0.98146296
183,0.99532807
184,0.20044795
185,0.11180964
186,0.06849298
187,0.99446535
188,0.33474547
189,0.19235405
190,0.9973601
191,0.9959378
192,0.04987198
193,0.04436609
194,0.45233965
195,0.18109167
196,0.9920391
197,0.9875579
198,0.33083683
199,0.2706578
200,0.47164613
201,0.9923233
202,0.9856715
203,0.9947814
204,0.99383885
205,0.065431416
206,0.24585027
207,0.9925296
208,0.11049196
209,0.03687501
210,0.016946912
211,0.073664576
212,0.10920346
213,0.05969414
214,0.043681234
215,0.10521075
216,0.06365344
217,0.039225966
218,0.89538807
219,0.028191835
220,0.9261904
221,0.09904927
222,0.07254371
223,0.40933818
224,0.119555116
225,0.19511113
226,0.080450475
227,0.4849115
228,0.07847816
229,0.049598217
230,0.1926133
231,0.03601566
232,0.045868993
233,0.024108976
234,0.33189434
235,0.056346327
236,0.113099575
237,0.1036188
238,0.79091
239,0.3809666
240,0.18581942
241,0.0714449
242,0.039817482
243,0.47180882
244,0.11183229
245,0.1607508
246,0.27837825
247,0.071989894
248,0.64666396
249,0.1149877
250,0.38281295
251,0.24946958
252,0.12690812
253,0.3619014
254,0.1585654
255,0.09051648
256,0.2980878
257,0.17307591
258,0.24468312
259,0.41191363
260,0.16699007
261,0.15932098
262,0.16424075
263,0.02580294
264,0.49415526
265,0.21088457
266,0.4162041
267,0.22635558
268,0.07608047
269,0.67628217
270,0.33479112
271,0.45754108
272,0.05635953
273,0.2503298
274,0.041705728
275,0.28182635
276,0.062684566
277,0.5217089
278,0.070553124
279,0.049710244
280,0.14327717
281,0.11620253
282,0.09997827
283,0.062684566
284,0.052978903
285,0.33370906
286,0.24311039
287,0.08973163
288,0.11076704
289,0.036857247
290,0.06956115
291,0.18148902
292,0.08711317
293,0.036274135
294,0.6451601
295,0.06018904
296,0.09097299
297,0.12383762
298,0.10742539
299,0.54152477
300,0.105465114
301,0.24138
302,0.04979098
303,0.047885954
304,0.3014872
305,0.22316563
306,0.29347494
307,0.103934914
308,0.08596316
309,0.11317864
310,0.024153322
311,0.1070205
312,0.08671221
313,0.041426033
314,0.12742117
315,0.067243546
316,0.028322548
317,0.2740063
318,0.059978247
319,0.2947327
320,0.14000484
321,0.1124585
322,0.06998578
323,0.15278462
324,0.048470467
325,0.7166356
326,0.15900815
327,0.04812944
328,0.043234795
329,0.21963203
330,0.044213355
331,0.2876332
332,0.10965979
333,0.19325787
334,0.07699752
335,0.10519606
336,0.05797249
337,0.4459481
338,0.28820872
339,0.039015114
340,0.3643055
341,0.13971704
