,elmo_net
0,0.6315434
1,0.4003644
2,0.80717003
3,0.93430734
4,0.7590525
5,0.9557143
6,0.9990778
7,0.21879727
8,0.799926
9,0.6545269
10,0.8277715
11,0.9345338
12,0.9012697
13,0.8373393
14,0.94330585
15,0.10630417
16,0.066229194
17,0.10980797
18,0.27322623
19,0.10702294
20,0.13896728
21,0.20124409
22,0.10995951
23,0.0831621
24,0.13174382
25,0.0952934
26,0.20212197
27,0.07984707
28,0.124272585
29,0.08147949
30,0.15125301
31,0.5837675
32,0.07853827
33,0.56659293
34,0.15198514
35,0.49843663
36,0.13178322
37,0.4884084
38,0.76648444
39,0.15997651
40,0.13791999
41,0.59162307
42,0.28020352
43,0.16395825
44,0.28154874
45,0.08258811
46,0.9850918
47,0.16019589
48,0.13791999
49,0.05410564
50,0.70589596
51,0.54077286
52,0.32632655
53,0.9181973
54,0.1670689
55,0.9630644
56,0.7640119
57,0.14081109
58,0.3219085
59,0.990801
60,0.18786338
61,0.21013814
62,0.22286117
63,0.907388
64,0.17096049
65,0.77713245
66,0.20149434
67,0.10363603
68,0.8217039
69,0.96506447
70,0.16895026
71,0.7882992
72,0.9325987
73,0.57638985
74,0.98279285
75,0.59567744
76,0.4141588
77,0.92244375
78,0.97335994
79,0.63769364
80,0.2435973
81,0.37949908
82,0.07165873
83,0.6502705
84,0.78053725
85,0.99676657
86,0.66239077
87,0.68840843
88,0.97647846
89,0.9104241
90,0.43643707
91,0.5962043
92,0.9078527
93,0.5124494
94,0.82495356
95,0.70488083
96,0.16024023
97,0.95314205
98,0.44216645
99,0.44004562
100,0.9984902
101,0.247132
102,0.12820536
103,0.0775218
104,0.044262677
105,0.0897845
106,0.02735287
107,0.15644294
108,0.15785092
109,0.070279
110,0.16224414
111,0.48350036
112,0.37513784
113,0.68801624
114,0.067397684
115,0.02735287
116,0.045440614
117,0.50665444
118,0.043753296
119,0.043753296
120,0.086595684
121,0.43357548
122,0.51991135
123,0.44581136
124,0.12855208
125,0.051331073
126,0.045317173
127,0.058909744
128,0.02734378
129,0.60797036
130,0.04641521
131,0.70162266
132,0.19536754
133,0.05259785
134,0.07044411
135,0.080411464
136,0.9972329
137,0.6876563
138,0.53643554
139,0.99880815
140,0.49771887
141,0.9391568
142,0.88074887
143,0.99438137
144,0.9971527
145,0.99590564
146,0.9982625
147,0.999351
148,0.9752223
149,0.0827795
150,0.6833547
151,0.9986803
152,0.99597096
153,0.99429893
154,0.9914346
155,0.99055016
156,0.9999976
157,0.8915824
158,0.99866205
159,0.9987247
160,0.9729525
161,0.9920732
162,0.9842132
163,0.46858972
164,0.999351
165,0.7685931
166,0.53840894
167,0.7084657
168,0.9978742
169,0.9887582
170,0.989477
171,0.68038905
172,0.99608374
173,0.9958328
174,0.9988538
175,0.15983137
176,0.88980484
177,0.9985794
178,0.0399898
179,0.068160355
180,0.1716497
181,0.12955695
182,0.995841
183,0.99777293
184,0.37531662
185,0.11387813
186,0.052841365
187,0.9954732
188,0.488442
189,0.23431045
190,0.9984448
191,0.9973327
192,0.03782454
193,0.04073888
194,0.30570114
195,0.2823944
196,0.99703985
197,0.99632084
198,0.48836735
199,0.41081706
200,0.46955934
201,0.99613065
202,0.99508196
203,0.9965206
204,0.99624574
205,0.09822017
206,0.15251842
207,0.9963809
208,0.17689624
209,0.05292034
210,0.047715724
211,0.15026477
212,0.12290001
213,0.046037465
214,0.08623475
215,0.0851911
216,0.1059373
217,0.03689155
218,0.9371082
219,0.095146924
220,0.9569764
221,0.123586476
222,0.115291804
223,0.39730188
224,0.19979927
225,0.2646972
226,0.051555187
227,0.66306454
228,0.13509747
229,0.066232264
230,0.3719995
231,0.049138576
232,0.056792498
233,0.049016237
234,0.3873745
235,0.077450454
236,0.087361544
237,0.1310822
238,0.90098584
239,0.6162244
240,0.28812265
241,0.044354618
242,0.052897036
243,0.5962466
244,0.13134316
245,0.23501477
246,0.08948982
247,0.13798001
248,0.7021719
249,0.14495093
250,0.14739507
251,0.05866456
252,0.11265978
253,0.12361151
254,0.12246129
255,0.14699835
256,0.42815474
257,0.17995825
258,0.1800529
259,0.15475318
260,0.16432086
261,0.14055693
262,0.18248111
263,0.033322573
264,0.6181376
265,0.15172571
266,0.15218088
267,0.214602
268,0.096413225
269,0.73372936
270,0.12640691
271,0.18162638
272,0.07528436
273,0.28451103
274,0.12975848
275,0.27162394
276,0.1885272
277,0.7159361
278,0.11434761
279,0.10005659
280,0.23093396
281,0.1476847
282,0.10819641
283,0.1885272
284,0.047519416
285,0.5676925
286,0.26612207
287,0.13428402
288,0.11311525
289,0.08617109
290,0.15135437
291,0.24423054
292,0.14350918
293,0.11639586
294,0.8270941
295,0.078538775
296,0.07912415
297,0.12943634
298,0.17222571
299,0.6355271
300,0.13971311
301,0.44813284
302,0.059318185
303,0.06972769
304,0.30371818
305,0.2152777
306,0.19906408
307,0.19594315
308,0.19642797
309,0.12164006
310,0.0209634
311,0.19832662
312,0.04517266
313,0.06692913
314,0.1049411
315,0.04023698
316,0.01939547
317,0.25931767
318,0.031076998
319,0.2907316
320,0.13256258
321,0.21137297
322,0.045630127
323,0.25847447
324,0.054196656
325,0.84493667
326,0.09025431
327,0.061662704
328,0.058047086
329,0.19751737
330,0.039068878
331,0.5416857
332,0.12068981
333,0.26936775
334,0.19394138
335,0.10527417
336,0.11960763
337,0.4850613
338,0.16432661
339,0.10101724
340,0.3616323
341,0.13969824
342,0.47675183
343,0.15124378
344,0.0812999
345,0.091062665
346,0.06022191
347,0.07801992
348,0.057571977
349,0.067322016
350,0.067322016
351,0.07801992
352,0.11971241
353,0.08308944
354,0.7718133
355,0.07662344
356,0.10104486
357,0.2818551
358,0.07801992
359,0.008866489
360,0.07801992
361,0.14367846
362,0.5929921
363,0.07299897
364,0.06022191
365,0.07801992
366,0.18098387
367,0.12582383
368,0.6104269
369,0.04600814
370,0.06022191
371,0.067322016
372,0.06022191
373,0.067322016
374,0.031340063
375,0.8967385
376,0.04435295
377,0.052108765
378,0.07801992
379,0.07412276
380,0.98508036
381,0.94166756
382,0.9920541
383,0.39946318
384,0.69780654
385,0.9947188
386,0.93443733
387,0.94680846
388,0.3700189
389,0.2650897
390,0.12671703
391,0.99510443
392,0.9247313
393,0.97395897
394,0.9928831
395,0.966442
396,0.17392012
397,0.9555766
398,0.9969909
399,0.9630414
400,0.499261
401,0.3491291
402,0.95117295
403,0.9433463
404,0.4222331
405,0.45201382
406,0.95266265
407,0.42737776
408,0.9949733
409,0.7781136
410,0.9953162
411,0.99673563
412,0.25313538
413,0.23290926
414,0.96343476
415,0.17293707
416,0.94873774
417,0.99561685
418,0.23481742
419,0.12638795
420,0.76479805
421,0.22841805
422,0.07707906
423,0.16205144
424,0.9676244
425,0.775843
426,0.08145547
427,0.6394821
428,0.10705185
429,0.39332968
430,0.5351318
431,0.12543517
432,0.15843415
433,0.21264979
434,0.97982335
435,0.109279335
436,0.069916815
437,0.9239615
438,0.23293558
439,0.061386675
440,0.0466488
441,0.112813294
442,0.15984619
443,0.30428427
444,0.62704235
445,0.7290969
446,0.59256446
447,0.055793196
448,0.6715433
449,0.8201095
450,0.33680505
451,0.49321678
452,0.98460436
453,0.1587379
454,0.7908186
455,0.9925054
456,0.9938583
457,0.71477383
458,0.9386025
459,0.9466579
460,0.91254675
461,0.09043792
462,0.9733739
463,0.47389433
464,0.08512193
465,0.15863276
466,0.64375097
467,0.15790063
468,0.87597764
469,0.22521049
470,0.81981134
471,0.6854756
472,0.86713934
473,0.82249224
474,0.60347563
475,0.30184034
476,0.30883867
477,0.31712544
478,0.5740487
479,0.058673054
480,0.582729
481,0.25198537
482,0.12670833
483,0.9982846
484,0.058244288
485,0.07354075
486,0.1847418
487,0.1747421
488,0.07771453
489,0.97811055
490,0.935974
491,0.9419657
492,0.923911
493,0.8456861
494,0.12978718
495,0.9619514
496,0.3329448
497,0.18120927
498,0.10760081
499,0.9285895
500,0.96354765
501,0.024196059
502,0.45931727
503,0.2905837
504,0.95701766
505,0.9668294
506,0.9561411
507,0.037822932
508,0.9802848
509,0.108723044
510,0.96532536
511,0.9688162
512,0.9714192
513,0.97413075
514,0.9778404
515,0.13752204
516,0.97315884
517,0.21226424
518,0.11409816
519,0.6720559
520,0.16097987
521,0.21762538
522,0.051122874
523,0.07015386
524,0.09858975
525,0.10741821
526,0.022522181
527,0.73492795
528,0.024857074
529,0.30755818
530,0.04943022
531,0.04600373
532,0.08063641
533,0.5868697
534,0.045134515
535,0.6576893
536,0.072980255
537,0.040863484
538,0.10524556
539,0.042838752
540,0.114002526
541,0.16739485
542,0.06060055
543,0.13174817
544,0.39941064
545,0.5266496
546,0.5767743
547,0.03771335
548,0.51899165
549,0.045470834
550,0.048011392
551,0.026485384
552,0.24716404
553,0.03587717
554,0.2303912
555,0.17004666
556,0.15560597
557,0.27064872
558,0.06855336
559,0.15964109
560,0.06936839
561,0.02354744
562,0.034254074
563,0.51225096
564,0.10811201
565,0.12702677
566,0.06639093
567,0.191445
568,0.35611883
569,0.045897484
570,0.09478617
571,0.14998534
572,0.012724668
573,0.8457687
574,0.45564887
575,0.5132973
576,0.7828783
577,0.86686695
578,0.83176136
579,0.81744766
580,0.8722743
581,0.70130056
582,0.3508455
583,0.51837915
584,0.87131095
585,0.8088529
586,0.88604426
587,0.75075614
588,0.66101706
589,0.6807334
590,0.7385397
591,0.6858852
592,0.81814086
593,0.29762703
594,0.5837424
595,0.16239548
596,0.28210506
597,0.42750782
598,0.783826
599,0.5710269
600,0.348545
601,0.738878
602,0.89395857
603,0.8163804
604,0.7882105
605,0.36726207
606,0.7883804
607,0.5945664
608,0.78536224
609,0.32540554
610,0.6974858
611,0.9003421
612,0.8720881
613,0.35133737
614,0.7639596
615,0.5287149
616,0.7729831
617,0.98432493
618,0.1860137
619,0.2325724
620,0.5534013
621,0.5444256
622,0.90410966
623,0.9317131
624,0.6974858
625,0.3738525
626,0.9274607
627,0.37991834
628,0.5141242
629,0.35675514
630,0.6974858
631,0.11180702
632,0.59335744
633,0.60223204
634,0.6974858
635,0.6638706
636,0.7544259
637,0.69242704
638,0.86800873
639,0.89571524
640,0.08353832
641,0.07109776
