,elmo_net
0,0.6934363
1,0.3736375
2,0.74961406
3,0.9306742
4,0.57392985
5,0.90551746
6,0.9997548
7,0.18733871
8,0.76415265
9,0.5431437
10,0.75895035
11,0.87725294
12,0.8560817
13,0.8265724
14,0.9227271
15,0.0645287
16,0.03718093
17,0.08487156
18,0.19651568
19,0.07383892
20,0.07651058
21,0.16838038
22,0.053762823
23,0.057886273
24,0.08349642
25,0.04210642
26,0.14616615
27,0.03264159
28,0.075387806
29,0.044201195
30,0.09474957
31,0.49991322
32,0.055016935
33,0.54396665
34,0.07538217
35,0.31147382
36,0.14126223
37,0.45252717
38,0.7521453
39,0.07813835
40,0.10090041
41,0.4351527
42,0.21909651
43,0.10662401
44,0.23291603
45,0.07567528
46,0.9877862
47,0.15247998
48,0.10090041
49,0.05596593
50,0.6141958
51,0.46246538
52,0.3316953
53,0.91228986
54,0.15148634
55,0.9664098
56,0.7446947
57,0.15472168
58,0.24905074
59,0.9914319
60,0.1259805
61,0.17872036
62,0.20388502
63,0.7581116
64,0.17141497
65,0.72884876
66,0.15279746
67,0.10628915
68,0.7226526
69,0.92755294
70,0.1721493
71,0.6743592
72,0.8636132
73,0.6408641
74,0.9592898
75,0.4239749
76,0.28227288
77,0.89956015
78,0.9293614
79,0.50826234
80,0.16418612
81,0.24304143
82,0.033382624
83,0.6245394
84,0.53524673
85,0.9955479
86,0.60583055
87,0.54354745
88,0.9631833
89,0.8582115
90,0.2950378
91,0.50685936
92,0.83938825
93,0.4269371
94,0.79588807
95,0.59755194
96,0.093874454
97,0.9195179
98,0.3444624
99,0.38546902
100,0.9995339
101,0.28375107
102,0.09796181
103,0.13006335
104,0.03293535
105,0.12250769
106,0.01774314
107,0.049262077
108,0.13544515
109,0.099545866
110,0.11245513
111,0.50277513
112,0.35272336
113,0.6574018
114,0.050357997
115,0.01774314
116,0.0296247
117,0.3867873
118,0.027318686
119,0.027318686
120,0.057500362
121,0.48677212
122,0.36380398
123,0.49103066
124,0.25693664
125,0.021798551
126,0.082372844
127,0.0537228
128,0.04522249
129,0.496263
130,0.030917048
131,0.68344843
132,0.25554737
133,0.030150801
134,0.103539914
135,0.030895114
136,0.9979708
137,0.47300944
138,0.7163646
139,0.99870855
140,0.43551767
141,0.8827117
142,0.82208014
143,0.99736226
144,0.9984945
145,0.9966806
146,0.9980377
147,0.99907434
148,0.9777529
149,0.13521877
150,0.7340544
151,0.9989157
152,0.9920826
153,0.996772
154,0.99202156
155,0.9814384
156,1.0
157,0.7712995
158,0.9985939
159,0.9982436
160,0.91396755
161,0.9584763
162,0.98040086
163,0.59347653
164,0.99907434
165,0.8306155
166,0.57424873
167,0.78592205
168,0.99915594
169,0.9953513
170,0.99137723
171,0.5147367
172,0.9949391
173,0.9960873
174,0.99953985
175,0.10076317
176,0.785488
177,0.99939156
178,0.055677444
179,0.04786232
180,0.1933606
181,0.20963925
182,0.9849185
183,0.99753803
184,0.2281676
185,0.14934584
186,0.06436193
187,0.9974315
188,0.28866485
189,0.26697856
190,0.999176
191,0.9985356
192,0.05762106
193,0.051339537
194,0.46237627
195,0.24715918
196,0.9962629
197,0.9950719
198,0.44386083
199,0.41001102
200,0.47490415
201,0.99727046
202,0.99620664
203,0.99707544
204,0.9966648
205,0.12521577
206,0.21456757
207,0.9977356
208,0.17094886
209,0.05148858
210,0.012689829
211,0.14453647
212,0.12758997
213,0.08570537
214,0.054975748
215,0.076642275
216,0.10458055
217,0.06068763
218,0.9415823
219,0.045882523
220,0.9451237
221,0.17433101
222,0.085020095
223,0.5519525
224,0.1813466
