,elmo_net
0,0.5319665
1,0.5741566
2,0.95541793
3,0.9440671
4,0.52747774
5,0.976666
6,0.999495
7,0.14746737
8,0.8817948
9,0.7174766
10,0.65992284
11,0.99555004
12,0.9663882
13,0.89523876
14,0.9629349
15,0.08021271
16,0.06596002
17,0.08307466
18,0.2085956
19,0.105252445
20,0.080815315
21,0.14110124
22,0.07568511
23,0.07918584
24,0.09657082
25,0.07274634
26,0.30239123
27,0.065859586
28,0.0868693
29,0.08310476
30,0.0963296
31,0.4881334
32,0.07401687
33,0.84089375
34,0.11213574
35,0.34740335
36,0.3233474
37,0.5668846
38,0.9526895
39,0.14304516
40,0.036033988
41,0.57631195
42,0.33532283
43,0.14641821
44,0.463977
45,0.06234497
46,0.9988657
47,0.17271987
48,0.036033988
49,0.042253673
50,0.9532623
51,0.7106202
52,0.18681929
53,0.98138106
54,0.25225735
55,0.9812442
56,0.96509385
57,0.12578458
58,0.14631027
59,0.9998578
60,0.20037949
61,0.36352634
62,0.17284963
63,0.9468042
64,0.18125424
65,0.60195607
66,0.23583516
67,0.14022791
68,0.9776403
69,0.9764861
70,0.43468946
71,0.8523606
72,0.9884671
73,0.6604422
74,0.99382955
75,0.5586728
76,0.6401258
77,0.9834465
78,0.9835371
79,0.6959561
80,0.19387192
81,0.72740793
82,0.14342955
83,0.99162734
84,0.78816915
85,0.99965394
86,0.9121666
87,0.7121605
88,0.99230266
89,0.9730264
90,0.6761025
91,0.77397835
92,0.98520744
93,0.944703
94,0.9330337
95,0.99644375
96,0.14316934
97,0.98269343
98,0.5129051
99,0.60112286
100,0.9961042
101,0.6414492
102,0.5194318
103,0.07833511
104,0.068555415
105,0.07190195
106,0.029038757
107,0.085808665
108,0.6725591
109,0.091237485
110,0.10766542
111,0.36568373
112,0.1889587
113,0.462533
114,0.044901967
115,0.029038757
116,0.030079365
117,0.2627647
118,0.05431646
119,0.05431646
120,0.12047568
121,0.83832663
122,0.5771767
123,0.57173014
124,0.33306396
125,0.08430511
126,0.08666095
127,0.06366858
128,0.112157464
129,0.36356035
130,0.050914764
131,0.52478117
132,0.14378265
133,0.08894122
134,0.134332
135,0.16644058
136,0.99864686
137,0.8458174
138,0.53165907
139,0.99804485
