,glove_net
0,0.6517798
1,0.96633804
2,0.9719548
3,0.9342171
4,0.6071702
5,0.96977144
6,0.99963045
7,0.27561486
8,0.90621114
9,0.75580454
10,0.67115563
11,0.55053437
12,0.9197732
13,0.83331245
14,0.96291834
15,0.18799406
16,0.010273546
17,0.07894537
18,0.3635246
19,0.19397753
20,0.2413893
21,0.29807937
22,0.10720834
23,0.02296266
24,0.09059042
25,0.1507082
26,0.34031993
27,0.014098376
28,0.1003789
29,0.024107397
30,0.25893158
31,0.37019834
32,0.14489448
33,0.5429845
34,0.2303296
35,0.42439958
36,0.09138125
37,0.23787454
38,0.39974472
39,0.104786694
40,0.04347238
41,0.118658185
42,0.019646585
43,0.09589487
44,0.24977314
45,0.01278016
46,0.97744954
47,0.25566494
48,0.04347238
49,0.018592
50,0.73640823
51,0.46571234
52,0.1819165
53,0.8967222
54,0.00054752827
55,0.81266356
56,0.7406558
57,0.07864949
58,0.13918322
59,0.9895348
60,0.004282087
61,0.28816032
62,0.37340355
63,0.81056917
64,0.32642078
65,0.46239805
66,0.02464214
67,0.16573942
68,0.89233434
69,0.95780694
70,0.35917744
71,0.7674898
72,0.9978436
73,0.6101915
74,0.98856664
75,0.2686777
76,0.45046043
77,0.88304746
78,0.993063
79,0.58658093
80,0.08280876
81,0.38986036
82,0.18672106
83,0.7869098
84,0.9707902
85,0.9833703
86,0.9000256
87,0.8483007
88,0.9986812
89,0.9786948
90,0.57579273
91,0.7650105
92,0.95381355
93,0.75642294
94,0.7798258
95,0.935172
96,0.14983982
97,0.92157936
98,0.57579273
99,0.46057358
100,0.9995004
101,0.34701207
102,0.012265533
103,0.09261328
104,0.014606029
105,0.3305953
106,0.014606029
107,0.12486544
108,0.05057469
109,0.12744081
110,0.39720225
111,0.13333222
112,0.06370351
113,0.2631545
114,0.014606029
115,0.014606029
116,0.014606029
117,0.32040006
118,0.014606029
119,0.014606029
120,0.08714095
121,0.1615755
122,0.46931365
123,0.066740334
124,0.17089179
125,0.0024508834
126,0.06350979
127,0.054364473
128,0.047422826
129,0.2604884
130,0.017316997
131,0.2631545
132,0.10351196
133,0.03491807
134,0.027824879
135,0.009233683
136,0.9927366
137,0.84502155
138,0.64745885
139,0.98441327
140,0.39105225
141,0.96188843
142,0.87309134
143,0.9141898
144,0.9986172
145,0.9141898
146,0.96946084
147,0.9786939
148,0.8868687
149,0.07457778
150,0.81438154
151,0.97493684
152,0.9709738
153,0.9141898
154,0.9141898
155,0.9635781
156,0.9999634
157,0.4953636
158,0.9911915
159,0.98441327
160,0.36391363
161,0.9083414
162,0.8934338
163,0.26150942
164,0.9786939
165,0.5821581
166,0.45370495
167,0.8424022
168,0.93765295
169,0.8570038
170,0.8763617
171,0.6271
172,0.9990623
173,0.9865258
174,0.9996023
175,0.25525832
176,0.81090796
177,0.9990623
178,0.14774376
179,0.44950497
180,0.7039033
181,0.082820594
182,0.9992157
183,0.9990623
184,0.38847855
185,0.11173707
186,0.14774376
187,0.99578905
188,0.437986
189,0.31016964
190,0.9990623
191,0.9990623
192,0.14774376
193,0.14774376
194,0.32128608
195,0.34610707
196,0.9996023
197,0.9990623
198,0.26348382
199,0.20994714
