,glove_net
0,0.6304215
1,0.898366
2,0.9900814
3,0.9419602
4,0.6623211
5,0.98568577
6,0.9986942
7,0.3304786
8,0.8187862
9,0.67428637
10,0.59298533
11,0.19862148
12,0.7775879
13,0.6151073
14,0.89206135
15,0.35066393
16,0.11232939
17,0.26734126
18,0.4384314
19,0.41587216
20,0.38820207
21,0.43786347
22,0.26329374
23,0.23695698
24,0.3634122
25,0.30501
26,0.45752668
27,0.13878265
28,0.3511135
29,0.16567838
30,0.40205076
31,0.4635537
32,0.2216157
33,0.551348
34,0.3708669
35,0.35210615
36,0.07109901
37,0.41562763
38,0.827773
39,0.36559284
40,0.18162373
41,0.32088578
42,0.12710953
43,0.2850629
44,0.31926244
45,0.11318904
46,0.9497025
47,0.3150167
48,0.18162373
49,0.074065834
50,0.7239194
51,0.30120203
52,0.62017584
53,0.847746
54,0.089748055
55,0.5896592
56,0.52577835
57,0.10788792
58,0.1653854
59,0.95386493
60,0.05826956
61,0.27321494
62,0.33151126
63,0.65249205
64,0.48149967
65,0.42049435
66,0.12463036
67,0.13440707
68,0.67678195
69,0.97755146
70,0.42523372
71,0.88354397
72,0.98569655
73,0.66228086
74,0.9908984
75,0.67895085
76,0.54978245
77,0.82151157
78,0.9946141
79,0.5453735
80,0.42550623
81,0.22883415
82,0.2608959
83,0.5479686
84,0.9402226
85,0.94235027
86,0.7961895
87,0.7687072
88,0.94557655
89,0.9193382
90,0.7385181
91,0.7764522
92,0.9259826
93,0.3413034
94,0.8175112
95,0.76388454
96,0.15462741
97,0.81946874
98,0.7385181
99,0.38954633
100,0.9987829
101,0.49997088
102,0.038677216
103,0.2132558
104,0.015366644
105,0.3825631
106,0.015366644
107,0.19122258
108,0.06391999
109,0.4891379
110,0.67453605
111,0.25451303
112,0.2426691
113,0.5060631
114,0.015366644
115,0.015366644
116,0.015366644
117,0.39274698
118,0.015366644
119,0.015366644
120,0.075024456
121,0.29700667
122,0.38920334
123,0.21135268
124,0.24346805
125,0.1431239
126,0.21231955
127,0.17579043
128,0.1369589
129,0.34713998
130,0.07566896
131,0.5060631
132,0.16793814
133,0.14066353
134,0.3066491
135,0.02005437
136,0.9909736
137,0.8233969
138,0.59003437
139,0.97258496
140,0.33190334
141,0.9776534
142,0.6169114
143,0.82071054
144,0.99292994
145,0.82071054
146,0.9722295
147,0.97595024
148,0.89229643
149,0.3390717
150,0.77808166
151,0.9754511
152,0.8276342
153,0.82071054
154,0.82071054
155,0.93952835
