,glove_net
0,0.45892507
1,0.8960005
2,0.8165418
3,0.7978431
4,0.54934967
5,0.972777
6,0.96731687
7,0.3435261
8,0.83337533
9,0.73965764
10,0.5497917
11,0.8142688
12,0.66336614
13,0.6497722
14,0.8164226
15,0.41296914
16,0.18513674
17,0.22404674
18,0.4176224
19,0.43816292
20,0.42354646
21,0.4031515
22,0.34333932
23,0.23356637
24,0.30226052
25,0.3049192
26,0.41321436
27,0.2397919
28,0.27607462
29,0.24911952
30,0.40465567
31,0.40485993
32,0.16110805
33,0.6924379
34,0.2761578
35,0.3326332
36,0.11524415
37,0.3735962
38,0.7180697
39,0.17032325
40,0.11829236
41,0.49138054
42,0.07704246
43,0.16890714
44,0.51620364
45,0.21926337
46,0.88294727
47,0.16867486
48,0.11829236
49,0.051845253
50,0.5580709
51,0.30215618
52,0.7635486
53,0.93609136
54,0.19280094
55,0.6145654
56,0.7754911
57,0.13898572
58,0.42045325
59,0.91873956
60,0.011263818
61,0.20794871
62,0.23811555
63,0.67467654
64,0.6241671
65,0.5708723
66,0.21489209
67,0.3182698
68,0.7139363
69,0.89334
70,0.51831365
71,0.57455844
72,0.93880785
73,0.7056065
74,0.9771157
75,0.71191126
76,0.5903628
77,0.90371174
78,0.9869586
79,0.8103034
80,0.26305556
81,0.21341187
82,0.49795616
83,0.85541177
84,0.8676903
85,0.9718688
86,0.8657718
87,0.5318396
88,0.902158
89,0.85667837
90,0.6815138
91,0.839558
92,0.8898381
93,0.78666776
94,0.74344444
95,0.9504155
96,0.22141454
97,0.82379484
98,0.63200355
99,0.21335614
100,0.9925227
101,0.4997857
102,0.32582253
103,0.15149787
104,0.053438276
105,0.28328526
106,0.037566394
107,0.1657528
108,0.16269618
109,0.32079318
110,0.351862
111,0.16684675
112,0.15024388
113,0.43901828
114,0.07418984
115,0.037566394
116,0.04821995
117,0.4817334
118,0.06847924
119,0.06847924
120,0.08761743
121,0.47125164
122,0.3818372
123,0.161693
124,0.35918272
125,0.018516928
126,0.09771407
127,0.21122321
128,0.09762612
129,0.2757858
130,0.20369533
131,0.46579397
132,0.08629009
133,0.11518815
134,0.20018712
135,0.27908498
136,0.9299276
137,0.6986792
138,0.64595985
139,0.93927944
140,0.41983408
141,0.9666816
142,0.6005298
143,0.83628225
144,0.97526115
145,0.8291647
146,0.9209939
147,0.86236656
148,0.8078784
149,0.4019342
150,0.6856872
151,0.8886534
152,0.86941653
153,0.802395
154,0.8124418
155,0.94891286
156,0.9962181
157,0.5678224
158,0.9752091
159,0.948138
160,0.7003583
161,0.8289987
162,0.6938538
163,0.54137397
164,0.86236656
165,0.6644651
166,0.49243706
167,0.85957825
168,0.902781
169,0.7232349
170,0.96071935
171,0.7044788
172,0.9902164
173,0.9773946
174,0.9949501
175,0.35540205
176,0.8600928
177,0.98877776
178,0.27830786
179,0.30756184
180,0.544764
181,0.24737152
182,0.98420334
183,0.9911455
184,0.5813027
185,0.2804114
186,0.31209093
187,0.9886055
188,0.49810496
189,0.858063
190,0.99186933
191,0.9923511
192,0.27830786
193,0.30679053
194,0.3925919
195,0.4201829
196,0.9949502
197,0.9878432
198,0.4904058
199,0.5155955
200,0.567835
201,0.9911049
202,0.9867511
203,0.9951371
204,0.99306464
205,0.78001297
206,0.4888218
207,0.99100107
208,0.4209495
209,0.10652393
210,0.066714525
211,0.12045473
212,0.3246245
213,0.35275176
214,0.286168
215,0.07111862
216,0.11212358
217,0.15404105
218,0.8276588
219,0.34168118
220,0.849226
221,0.49773255
222,0.2669831
223,0.3493051
224,0.3545097
225,0.14275435
226,0.17371234
227,0.43441468
228,0.11212358
229,0.32827812
230,0.36195505
231,0.116506785
232,0.15674484
233,0.123625964
234,0.17896146
235,0.18505254
236,0.19892377
237,0.15474552
238,0.8061675
239,0.89454424
240,0.074138105
241,0.1285677
242,0.38994557
243,0.48944828
244,0.4711901
245,0.348973
246,0.6808044
247,0.35006195
248,0.7474642
249,0.41863954
250,0.61700803
251,0.761891
252,0.40428278
253,0.67445636
254,0.23611116
255,0.51436394
256,0.38849878
257,0.12662405
258,0.36812866
259,0.61700803
260,0.23274049
261,0.07599324
262,0.12662405
263,0.06429735
264,0.62969697
265,0.22561413
266,0.6420581
267,0.25234812
268,0.16255349
269,0.79961646
270,0.70166236
271,0.740504
272,0.23212376
273,0.24364328
274,0.20414525
275,0.13132587
276,0.45416686
277,0.7066455
278,0.29541796
279,0.26338768
280,0.337838
281,0.23481822
282,0.08589178
283,0.35515127
284,0.034387857
285,0.46615505
286,0.10850191
287,0.23620042
288,0.03689614
289,0.38294214
290,0.10565883
291,0.26079506
292,0.14086163
293,0.20505023
294,0.81622034
295,0.02226448
296,0.042488366
297,0.17397276
298,0.3537616
299,0.49793175
300,0.37533262
301,0.28147966
302,0.29646283
303,0.0181095
304,0.40533367
305,0.40533367
306,0.041431546
307,0.17450747
308,0.25899655
309,0.30113328
310,0.025006622
311,0.23075601
312,0.035859972
313,0.19090879
314,0.07492882
315,0.11399633
316,0.1979452
317,0.37489194
318,0.03262517
319,0.40533367
320,0.17700642
321,0.28893024
322,0.13078359
323,0.3372994
324,0.18559241
325,0.8815256
326,0.42128932
327,0.05323267
328,0.16321447
329,0.22010908
330,0.1107412
331,0.4748708
332,0.18173838
333,0.13843104
334,0.3225339
335,0.31937143
336,0.2707222
337,0.7389985
338,0.024876356
339,0.37710005
340,0.1270859
341,0.61613196
342,0.72746265
343,0.2933691
344,0.00938344
345,0.11381924
346,0.35844138
347,0.08272129
348,0.124979526
349,0.25470993
350,0.25470993
351,0.08272129
352,0.25467795
353,0.10409579
354,0.26451364
355,0.1432527
356,0.1559867
357,0.15316933
358,0.08272129
359,0.02418232
360,0.08272129
361,0.45776486
362,0.36011356
363,0.18401843
364,0.35844138
365,0.08272129
366,0.0298976
367,0.16724107
368,0.17563605
369,0.5304491
370,0.35844138
371,0.25470993
372,0.35844138
373,0.25470993
374,0.45211163
375,0.41480356
376,0.32147244
377,0.56355226
378,0.08272129
379,0.146115
380,0.8868921
381,0.67180693
382,0.9123402
383,0.5018337
384,0.2692194
385,0.8907789
386,0.87404525
387,0.90571773
388,0.5310309
389,0.5424098
390,0.29464895
391,0.96559644
392,0.7606907
393,0.97727513
394,0.9885507
395,0.9652075
396,0.13402453
397,0.80692106
398,0.95181656
399,0.9728781
400,0.682206
401,0.36900446
402,0.97164637
403,0.9200591
404,0.7669375
405,0.5847613
406,0.90571773
407,0.6657128
408,0.9627366
409,0.61037207
410,0.96779716
411,0.9625878
412,0.39764708
413,0.2788291
414,0.9347962
415,0.22987005
416,0.79339755
417,0.9625878
418,0.39709705
419,0.26661476
420,0.4519128
421,0.21572521
422,0.23311326
423,0.095289886
424,0.8175696
425,0.6165803
426,0.28801876
427,0.3924402
428,0.3039246
429,0.41487148
430,0.64619106
431,0.31715715
432,0.017033875
433,0.2372458
434,0.924108
435,0.17107975
436,0.31217268
437,0.9439688
438,0.3081193
439,0.3366117
440,0.10007867
441,0.3781528
442,0.18368515
443,0.6915855
444,0.80462813
445,0.28963092
446,0.81334805
447,0.2504834
448,0.57238704
449,0.84133196
450,0.113577306
451,0.64167887
452,0.99366796
453,0.2728666
454,0.8896797
455,0.9596617
456,0.96500254
457,0.79236805
458,0.9390204
459,0.7364123
460,0.97852695
461,0.33620754
462,0.99221057
463,0.34660405
464,0.33897814
465,0.16778922
466,0.38725996
467,0.64161694
468,0.74808973
469,0.37911826
470,0.77997696
471,0.5986838
472,0.89503664
473,0.642016
474,0.5133995
475,0.45972615
476,0.3114583
477,0.6811307
478,0.85744846
479,0.45434242
480,0.447998
481,0.47569478
482,0.5187494
483,0.9991074
484,0.24028975
485,0.50655997
486,0.6212517
487,0.3114086
488,0.30867293
489,0.96044886
490,0.97577274
491,0.9681839
492,0.98297983
493,0.7961633
494,0.7206903
495,0.97577274
496,0.41231087
497,0.6101891
498,0.2416673
499,0.97577274
500,0.9766506
501,0.18701363
502,0.6358197
503,0.3300538
504,0.9607743
505,0.973245
506,0.96319187
507,0.3224398
508,0.97577274
509,0.27231765
510,0.97577274
511,0.9785578
512,0.9742764
513,0.8336077
514,0.9626951
515,0.34729803
516,0.9689784
517,0.39323702
518,0.09943056
519,0.7946673
520,0.10824451
521,0.36622596
522,0.2113153
523,0.018746674
524,0.30545688
525,0.08792549
526,0.29385847
527,0.49222043
528,0.33030337
529,0.3543176
530,0.013957381
531,0.29378262
532,0.04864666
533,0.532478
534,0.0632346
535,0.331539
536,0.0117123425
537,0.03974992
538,0.26575392
539,0.126793
540,0.2305848
541,0.18385077
542,0.45393354
543,0.15034905
544,0.5881788
545,0.12307438
546,0.37431172
547,0.01770237
548,0.54332215
