,glove_net
0,0.77496636
1,0.98494804
2,0.90274477
3,0.9608017
4,0.78675216
5,0.99667966
6,0.99997616
7,0.25103512
8,0.8876612
9,0.8411216
10,0.81824815
11,0.94249064
12,0.92453873
13,0.8920413
14,0.96246344
15,0.28265995
16,0.011936873
17,0.04927224
18,0.36619493
19,0.26887035
20,0.15976876
21,0.27508736
22,0.10163608
23,0.0543361
24,0.10470107
25,0.16508183
26,0.19730914
27,0.023269773
28,0.10339844
29,0.06176436
30,0.2406624
31,0.37035325
32,0.16506028
33,0.4815404
34,0.23418495
35,0.2882585
36,0.06454161
37,0.2636617
38,0.6137287
39,0.11795226
40,0.07415712
41,0.04728797
42,0.10135794
43,0.039984375
44,0.36143935
45,0.00909102
46,0.98916364
47,0.14442074
48,0.07415712
49,0.0368582
50,0.67275643
51,0.26598808
52,0.18800133
53,0.5191585
54,0.0004172325
55,0.5706334
56,0.658062
57,0.044021875
58,0.2130563
59,0.9957794
60,0.009391546
61,0.13247514
62,0.15602764
63,0.7468975
64,0.087943286
65,0.3473572
66,0.08084571
67,0.17891559
68,0.8536036
69,0.95033467
70,0.21099055
71,0.7705538
72,0.9991055
73,0.7904065
74,0.99944234
75,0.40687096
76,0.44674903
77,0.81165946
78,0.99979484
79,0.36577648
80,0.033120394
81,0.43634173
82,0.2990712
83,0.8284893
84,0.9760232
85,0.9984407
86,0.7209244
87,0.8421232
88,0.9988725
89,0.93192685
90,0.65916276
91,0.86286116
92,0.9330831
93,0.6775531
94,0.86515546
95,0.9292204
96,0.1942851
97,0.9156207
98,0.65916276
99,0.3645575
100,0.9998287
101,0.12455779
102,0.024743855
103,0.103568375
104,0.0007506907
105,0.2489953
106,0.0007506907
107,0.16722006
108,0.09469953
109,0.086354256
110,0.30774298
111,0.13379103
112,0.008263111
113,0.23688635
114,0.0007506907
115,0.0007506907
116,0.0007506907
117,0.21696249
118,0.0007506907
119,0.0007506907
120,0.043283284
121,0.230845
122,0.19599894
123,0.05082172
124,0.15783414
125,0.012597233
126,0.06284863
127,0.067185104
128,0.056735873
129,0.25351286
130,0.0133731365
131,0.23688635
132,0.064938486
133,0.06693202
134,0.046001226
135,0.020424664
136,0.9970373
137,0.6153411
138,0.65272915
139,0.9903361
140,0.27979523
141,0.96964884
142,0.78435576
143,0.8788345
144,0.99980545
145,0.8788345
146,0.9904141
147,0.99487996
148,0.8120269
149,0.048248768
150,0.5626432
151,0.9917369
152,0.9033338
153,0.8788345
154,0.8788345
155,0.9806018
156,0.99998474
157,0.2433899
158,0.99877465
159,0.9903361
160,0.52855957
161,0.923108
162,0.7884258
163,0.67426336
164,0.99487996
165,0.67443144
166,0.24566212
167,0.8242051
168,0.9472227
169,0.9067248
170,0.9281076
171,0.7002655
172,0.99982584
173,0.9888247
174,0.99997604
175,0.10966733
176,0.75047565
177,0.99982584
178,0.089756936
179,0.35064673
180,0.23878676
181,0.1486463
182,0.9998213
183,0.99982584
184,0.389185
185,0.04818654
186,0.089756936
187,0.99963605
188,0.09739646
189,0.0347794
190,0.99982584
191,0.99982584
192,0.089756936
193,0.089756936
194,0.17189962
195,0.3929881
196,0.99997604
197,0.99982584
198,0.16739628
199,0.11105576
200,0.038594663
201,0.99982584
202,0.99982584
203,0.9998945
