,w2v_net
0,0.32100475
1,0.79256755
2,0.81872493
3,0.9776644
4,0.88026434
5,0.96656966
6,0.9761838
7,0.18771777
8,0.9408303
9,0.89092684
10,0.89042395
11,0.33733472
12,0.6638006
13,0.8448318
14,0.9523009
15,0.10113317
16,0.015481085
17,0.043824583
18,0.1314739
19,0.14123106
20,0.037175775
21,0.28979874
22,0.04633856
23,0.03215453
24,0.06473926
25,0.06860036
26,0.12485358
27,0.007112056
28,0.018103987
29,0.0305717
30,0.11078152
31,0.34481573
32,0.08456507
33,0.31290334
34,0.22407728
35,0.36400846
36,0.107620895
37,0.47857437
38,0.6951723
39,0.10613462
40,0.012337655
41,0.24548715
42,0.1490359
43,0.119870454
44,0.3504265
45,0.08639246
46,0.9874985
47,0.1959545
48,0.012337655
49,0.04401496
50,0.790228
51,0.49086103
52,0.53714985
53,0.93256265
54,0.07669836
55,0.89447486
56,0.8189732
57,0.03320986
58,0.255196
59,0.98607945
60,0.11201036
61,0.19730505
62,0.22654659
63,0.7796664
64,0.2341524
65,0.3772929
66,0.07625821
67,0.09940472
68,0.79390216
69,0.9044014
70,0.22449452
71,0.78282773
72,0.8918959
73,0.794137
74,0.86691207
75,0.41891825
76,0.49199042
77,0.8472502
78,0.9048821
79,0.38226044
80,0.20158777
81,0.29227716
82,0.22084299
83,0.4896743
84,0.854399
85,0.8876867
86,0.7639954
87,0.5826959
88,0.89748937
89,0.926566
90,0.8493484
91,0.77971745
92,0.84777033
93,0.45393318
94,0.8979224
95,0.5635931
96,0.18593585
97,0.87007713
98,0.40863913
99,0.5322431
100,0.99411523
101,0.6067
102,0.037093103
103,0.19123489
104,0.0565809
105,0.28564373
106,0.0565809
107,0.29020223
108,0.11514184
109,0.17476079
110,0.5536986
111,0.096021205
112,0.08421397
113,0.07157317
114,0.0565809
115,0.0565809
116,0.0565809
117,0.21143287
118,0.0565809
119,0.0565809
120,0.051087976
121,0.33863032
122,0.30836576
123,0.05650288
124,0.33704668
125,0.088181436
126,0.06866959
127,0.11900106
128,0.074567795
129,0.08540341
130,0.021311492
131,0.07157317
132,0.07200581
133,0.39900023
134,0.18408448
135,0.06645468
136,0.8881464
137,0.8352797
138,0.61963004
139,0.91638315
140,0.18157321
141,0.89025974
142,0.6831266
143,0.9189687
144,0.939394
145,0.9189687
146,0.9314387
147,0.8957388
148,0.8855568
149,0.24261743
150,0.9352673
151,0.9050776
152,0.83807987
153,0.9189687
154,0.9189687
155,0.9108143
156,0.95742226
157,0.75441694
158,0.9063779
159,0.91638315
160,0.4549871
161,0.719055
162,0.7326272
163,0.19833326
164,0.8957388
165,0.7658379
166,0.63421094
167,0.8065473
168,0.947658
169,0.9726924
170,0.95606387
171,0.6361351
172,0.9871316
173,0.9500561
174,0.99044776
175,0.27502114
176,0.902485
177,0.9871316
178,0.23418975
179,0.11913723
180,0.3060735
181,0.25978342
182,0.98094285
183,0.9871316
184,0.5073581
185,0.30445504
186,0.23418975
187,0.990406
188,0.38317248
189,0.53961086
190,0.9871316
191,0.9871316
192,0.23418975
193,0.23418975
194,0.42059624
195,0.36478102
196,0.99044776
197,0.9871316
198,0.48234975
199,0.17951754
200,0.56314474
201,0.9871316
202,0.9871316
203,0.97755015
204,0.97755015
205,0.6351008
206,0.13949236
207,0.9871316
208,0.28846827
209,0.26104277
210,0.03390652
211,0.09280938
212,0.16120315
213,0.18272024
214,0.086135
215,0.15034142
216,0.19426039
217,0.058569282
218,0.8090513
219,0.06547809
220,0.8090513
221,0.12555808
222,0.053342998
223,0.45054585
224,0.31102675
225,0.17816478
226,0.13637489
227,0.7401128
228,0.2085985
229,0.07152593
230,0.6747117
231,0.12330249
232,0.1861979
233,0.09350923
234,0.20472771
235,0.123447776
236,0.22272661
237,0.10581297
238,0.8090513
239,0.7096865
240,0.22313288
241,0.04477188
242,0.19522515
243,0.29098225
244,0.22061434
245,0.03907615
246,0.55193084
247,0.12738627
248,0.17856705
249,0.19805235
250,0.55193084
251,0.55193084
252,0.16563955
253,0.55193084
254,0.14913237
255,0.050385565
256,0.28700295
257,0.123744875
258,0.12224564
259,0.55193084
260,0.09517306
261,0.11537415
262,0.123744875
263,0.13097185
264,0.38523793
265,0.21351606
266,0.55193084
267,0.062479347
268,0.11765227
269,0.17856705
270,0.55193084
271,0.55193084
272,0.065013975
273,0.24726176
274,0.027641177
275,0.2145533
276,0.057186395
277,0.37635797
278,0.068802655
279,0.10596004
280,0.12124416
281,0.068796486
282,0.09527853
283,0.057186395
284,0.10814902
285,0.17421314
286,0.35432532
287,0.10504857
288,0.10318425
289,0.113383055
290,0.10593173
291,0.09434417
292,0.20317781
293,0.07788807
294,0.592748
295,0.089692324
296,0.0663515
297,0.14633939
298,0.06375724
299,0.27948552
300,0.08936462
301,0.3647468
302,0.1540479
303,0.07677969
304,0.16784608
305,0.16784608
306,0.16202426
307,0.09143725
308,0.1045194
309,0.1362885
310,0.0434483
311,0.10020256
312,0.091982216
313,0.09022564
314,0.11645347
315,0.10679412
316,0.12626776
317,0.16784608
318,0.07533723
319,0.16784608
320,0.06435111
321,0.14114666
322,0.09541157
323,0.14114666
324,0.07784584
325,0.56648177
326,0.08027843
327,0.11973679
328,0.050932914
329,0.1475577
330,0.14246666
331,0.31425053
332,0.21109983
333,0.12543273
334,0.39131013
335,0.14711016
336,0.093097925
337,0.6990311
338,0.17562893
339,0.07074833
340,0.082025796
341,0.27790046
342,0.5247164
343,0.13632047
344,0.13350347
345,0.07871285
346,0.04952538
347,0.120021224
348,0.14737907
349,0.04952538
350,0.04952538
351,0.120021224
352,0.19709948
353,0.10863906
354,0.4073035
355,0.11688417
356,0.2129648
357,0.040913045
358,0.120021224
359,0.10755721
360,0.120021224
361,0.15613052
362,0.54042023
363,0.14737907
364,0.04952538
365,0.120021224
366,0.026732177
367,0.16539776
368,0.33143538
369,0.4545064
370,0.04952538
371,0.04952538
372,0.04952538
373,0.04952538
374,0.41237083
375,0.9176978
376,0.4545064
377,0.4545064
378,0.120021224
379,0.16539776
380,0.9277332
381,0.83454555
382,0.9319254
383,0.28023255
384,0.31499422
385,0.9870546
386,0.91160256
387,0.91160256
388,0.7658037
389,0.17360029
390,0.09525043
391,0.9915215
392,0.8051467
393,0.9435526
394,0.9934441
395,0.901278
396,0.07041654
397,0.84333086
398,0.97987914
399,0.92495525
400,0.17360029
401,0.52147794
402,0.901278
403,0.91160256
404,0.17360029
405,0.17360029
406,0.91160256
407,0.17360029
408,0.9856482
409,0.61004245
410,0.9862795
411,0.9915215
412,0.32444364
413,0.20052952
414,0.9740137
415,0.21036783
416,0.95792913
417,0.9915215
418,0.04724723
419,0.05347556
420,0.42982483
421,0.17340988
422,0.05941215
423,0.08833665
424,0.89538014
425,0.68960303
426,0.100467324
427,0.17853105
428,0.021103442
429,0.53270304
430,0.86002016
431,0.12112519
432,0.094515234
433,0.0029869676
434,0.95982134
435,0.1437923
436,0.057162166
437,0.6924428
438,0.25656897
439,0.054284036
440,0.13799319
441,0.31147504
442,0.043735355
443,0.35199273
444,0.84112215
445,0.42996138
446,0.56700796
447,0.065708935
448,0.64329505
449,0.9248334
450,0.24703297
451,0.61847854
452,0.9924697
453,0.10632259
454,0.88855207
455,0.9593033
456,0.99612164
457,0.8122809
458,0.9568664
459,0.95074785
460,0.8688345
461,0.19324204
462,0.9855335
463,0.22383171
464,0.10404393
465,0.17819187
466,0.18049747
467,0.5138567
468,0.8363221
469,0.18492341
470,0.7516369
471,0.66501516
472,0.60434175
473,0.61450416
474,0.64329505
475,0.5447908
476,0.2661736
477,0.38084868
478,0.6357162
479,0.05349973
480,0.5451834
481,0.29607648
482,0.13928571
483,0.98771477
484,0.12973997
485,0.16513202
486,0.17986774
487,0.06930226
488,0.17765656
489,0.9811473
490,0.8992444
491,0.8992444
492,0.8992444
493,0.8163631
494,0.34788358
495,0.8992444
496,0.5107771
497,0.17986774
498,0.167512
499,0.8992444
500,0.8992444
501,0.18271413
502,0.2648388
503,0.19280341
504,0.8992444
505,0.8992444
506,0.8992444
507,0.13139388
508,0.8992444
509,0.17455202
510,0.8992444
511,0.8992444
512,0.8992444
513,0.91860867
514,0.8992444
515,0.33392227
516,0.8992444
517,0.23203021
518,0.07751417
519,0.8880527
520,0.12931898
521,0.37619862
522,0.03763014
523,0.07383114
524,0.17609036
525,0.055490226
526,0.06880221
527,0.5166974
528,0.085537046
529,0.45967016
530,0.031130016
531,0.05088803
532,0.055490226
533,0.6114181
534,0.09441137
535,0.5139612
536,0.17609465
537,0.09545237
538,0.22298008
539,0.04237324
540,0.031709254
541,0.07675061
542,0.26680374
543,0.12312767
544,0.54501504
545,0.25283074
546,0.22798711
547,0.043492198
548,0.36915562
