,w2v_net
0,0.31953755
1,0.7665081
2,0.828325
3,0.97329223
4,0.8423694
5,0.97915876
6,0.97635263
7,0.13854814
8,0.93272936
9,0.8848146
10,0.8887526
11,0.34709752
12,0.7347663
13,0.8774835
14,0.93558896
15,0.11850807
16,0.024630308
17,0.036040783
18,0.16206893
19,0.115196556
20,0.05378005
21,0.22467494
22,0.029011756
23,0.046652704
24,0.116328865
25,0.07944301
26,0.18602592
27,0.013850421
28,0.027555943
29,0.041282445
30,0.09522313
31,0.4054819
32,0.11333114
33,0.34020224
34,0.16724661
35,0.2314873
36,0.1078324
37,0.35904124
38,0.67930293
39,0.094564706
40,0.024592042
41,0.19729325
42,0.16363388
43,0.15324971
44,0.25076944
45,0.073884875
46,0.9794451
47,0.17815602
48,0.024592042
49,0.0628359
50,0.7362263
51,0.3670084
52,0.49584192
53,0.90695643
54,0.09656304
55,0.8836431
56,0.8275764
57,0.059856474
58,0.23475209
59,0.97632515
60,0.09306991
61,0.1974298
62,0.14651072
63,0.7784759
64,0.26222223
65,0.40881902
66,0.081418544
67,0.114981264
68,0.8272011
69,0.89611846
70,0.15690705
71,0.7415059
72,0.9172572
73,0.7472375
74,0.89531994
75,0.361332
76,0.5026069
77,0.89165413
78,0.92523396
79,0.53844285
80,0.20720729
81,0.30891657
82,0.1961267
83,0.69642377
84,0.895435
85,0.85941184
86,0.80238116
87,0.61959124
88,0.9072677
89,0.9141734
90,0.9461533
91,0.7544309
92,0.8150545
93,0.30930516
94,0.9280763
95,0.6231133
96,0.21309161
97,0.8823439
98,0.3578086
99,0.5313076
100,0.99382603
101,0.5830291
102,0.040619522
103,0.17594457
104,0.07514626
105,0.23673567
106,0.07514626
107,0.32626164
108,0.10693273
109,0.18590125
110,0.5799869
111,0.12191364
112,0.11385214
113,0.14139327
114,0.07514626
115,0.07514626
116,0.07514626
117,0.24724889
118,0.07514626
119,0.07514626
120,0.04756424
121,0.30028242
122,0.2721991
123,0.08379689
124,0.29701048
125,0.09991866
126,0.08670774
