,w2v_net
0,0.61195534
1,0.9365094
2,0.81406903
3,0.9550413
4,0.61641073
5,0.9415525
6,0.9035394
7,0.7653974
8,0.8428923
9,0.7934344
10,0.79603076
11,0.8661727
12,0.8425861
13,0.892634
14,0.8492311
15,0.44841033
16,0.011156082
17,0.03111437
18,0.57958907
19,0.4974527
20,0.03016311
21,0.27209127
22,0.022271723
23,0.03863138
24,0.4974527
25,0.023499936
26,0.5387772
27,0.011789024
28,0.4974527
29,0.013832867
30,0.15265545
31,0.41568357
32,0.07316202
33,0.75976866
34,0.19804525
35,0.449328
36,0.13668665
37,0.55911535
38,0.5984824
39,0.11575669
40,0.19779348
41,0.5573791
42,0.23250368
43,0.2549736
44,0.45074546
45,0.13483602
46,0.9509218
47,0.059514046
48,0.19779348
49,0.09918642
50,0.7392843
51,0.6594326
52,0.48300105
53,0.909632
54,0.28735808
55,0.62786555
56,0.94172037
57,0.10509786
58,0.2823476
59,0.9424401
60,0.18515915
61,0.21459657
62,0.14494765
63,0.6923986
64,0.35208583
65,0.7136541
66,0.2269204
67,0.1382075
68,0.6082345
69,0.82332265
70,0.1887143
71,0.45344886
72,0.7758242
73,0.72224617
74,0.90079224
75,0.4994179
76,0.30197865
77,0.9075984
78,0.9012984
79,0.67526954
80,0.19908082
81,0.32453728
82,0.28886417
83,0.66913116
84,0.8250575
85,0.9138195
86,0.82774734
87,0.55756944
88,0.7412481
89,0.8847286
90,0.7581384
91,0.7813678
92,0.8692717
93,0.91658384
94,0.545028
95,0.8796774
96,0.38669822
97,0.8288263
98,0.78796256
99,0.3672263
100,0.9097719
101,0.44923827
102,0.31949413
103,0.18930507
104,0.12406489
105,0.056952387
106,0.12406489
107,0.1914787
108,0.33598676
109,0.1428265
110,0.3945886
111,0.14765409
112,0.07636526
113,0.28609738
114,0.14232
115,0.12406489
116,0.14046815
117,0.52283466
118,0.11326915
119,0.11326915
120,0.11339629
121,0.59296626
122,0.23081869
123,0.33556622
124,0.35090393
125,0.06848475
126,0.06332478
127,0.06162408
128,0.09730446
129,0.28390706
130,0.011794865
131,0.24557269
132,0.08684823
133,0.4322549
134,0.17632613
135,0.17933503
136,0.91196704
137,0.7728305
138,0.71976143
139,0.91326535
140,0.29915535
141,0.83119774
142,0.8048849
143,0.8804022
144,0.9360404
145,0.8939047
146,0.9092758
147,0.89802194
148,0.791758
149,0.29045063
150,0.6871395
151,0.9041004
152,0.8573595
153,0.9032084
154,0.9032084
155,0.772814
156,0.9262516
157,0.79196084
158,0.90723264
159,0.90877986
160,0.74107015
161,0.6960162
162,0.7878988
163,0.47501278
164,0.89802194
165,0.9418984
166,0.75677335
167,0.8174088
168,0.913394
169,0.836248
170,0.91107213
171,0.47004604
172,0.9228404
173,0.90415466
174,0.9416667
175,0.34185475
176,0.7385639
177,0.9347911
178,0.18102822
179,0.24421525
180,0.09614536
181,0.18450469
182,0.9134809
183,0.93185264
184,0.19333687
185,0.13072407
186,0.1874114
187,0.9412336
188,0.44175828
189,0.6297819
190,0.93842596
191,0.9438603
192,0.18102822
193,0.25454727
194,0.36477423
195,0.46808347
196,0.9416667
197,0.93842596
198,0.38276643
199,0.4230203
200,0.40698493
201,0.94146025
202,0.89741653
203,0.9323101
204,0.9314906
205,0.64043736
206,0.37774718
207,0.93309766
208,0.4478499
209,0.078969985
210,0.077542454
211,0.11290273
212,0.18188488
213,0.16516429
214,0.07523975
215,0.13098434
216,0.15046743
217,0.029058069
218,0.7726517
219,0.064379156
220,0.72691476
221,0.32534772
222,0.079790324
223,0.37573898
224,0.08920133
225,0.24658635
226,0.13922986
227,0.54965
228,0.15046743
229,0.056370646
230,0.42383274
231,0.082390994
232,0.14155093
233,0.056770682
234,0.19253847
235,0.26319155
236,0.20126086
237,0.078851074
238,0.7302842
239,0.5745468
240,0.0889543
241,0.058463365
242,0.082880765
243,0.50693077
244,0.4703375
245,0.70461047
246,0.6710355
247,0.2931392
248,0.5058707
249,0.39661896
250,0.5702286
251,0.68333673
252,0.2511545
253,0.679756
254,0.13002777
255,0.26902372
256,0.78561914
257,0.057146043
258,0.467531
259,0.5702286
260,0.2613322
261,0.06411025
262,0.057146043
263,0.1366876
264,0.43616012
265,0.36687207
266,0.54251134
267,0.06454268
268,0.16437781
269,0.37062958
270,0.5794116
271,0.64069474
272,0.3305524
273,0.3406316
274,0.15116915
275,0.08476269
276,0.04080674
277,0.4128551
278,0.12016916
279,0.12584665
280,0.0319916
281,0.11169258
282,0.122288525
283,0.20428982
284,0.08351055
285,0.36776555
286,0.10772842
287,0.18597987
288,0.063007
289,0.14814597
290,0.10358131
291,0.16043323
292,0.18093699
293,0.31398606
294,0.5687589
295,0.06360924
296,0.18155822
297,0.112288535
298,0.119638324
299,0.65610135
300,0.13957718
301,0.15764815
302,0.112618536
303,0.06008181
304,0.45577157
305,0.45577157
306,0.06509367
307,0.060863823
308,0.102671176
309,0.21018988
310,0.11751199
311,0.11939219
312,0.028168917
313,0.116443396
314,0.10675365
315,0.07157159
316,0.2287178
317,0.43406737
318,0.024733871
319,0.45577157
320,0.14915425
321,0.08026594
322,0.124235004
323,0.13117337
324,0.19976678
325,0.73527175
326,0.34882054
327,0.07292038
328,0.059687644
329,0.22226831
330,0.05964321
331,0.20485404
332,0.14062083
333,0.22342727
334,0.66752136
335,0.24463117
336,0.14192364
337,0.57905143
338,0.06090036
339,0.17672446
340,0.21467623
341,0.43396914
342,0.6475415
343,0.07589555
344,0.058207035
345,0.12322593
346,0.20749989
347,0.23604959
348,0.22984248
349,0.15777454
350,0.15777454
351,0.23604959
352,0.15042135
353,0.17329735
354,0.4751458
355,0.19213066
356,0.4112053
357,0.17605108
358,0.23604959
359,0.16904587
360,0.23604959
361,0.51931214
362,0.38319793
363,0.27343667
364,0.20749989
365,0.23604959
366,0.10253352
367,0.24643177
368,0.7819296
369,0.5615063
370,0.20749989
371,0.15777454
372,0.20749989
373,0.15777454
