,w2v_net
0,0.9685916
1,0.9995017
2,0.95062447
3,0.9999653
4,0.9968935
5,1.0
6,0.99996555
7,0.6009705
8,0.9981967
9,0.96150565
10,0.98918223
11,0.7109415
12,0.9571161
13,0.99177545
14,0.9999931
15,0.0038260221
16,7.4402604e-05
17,8.1370345e-06
18,0.040495068
19,0.0030386448
20,2.3785831e-05
21,0.02666241
22,0.0017089546
23,0.0004966259
24,9.203552e-05
25,0.010698527
26,0.093058825
27,1.2070281e-07
28,6.22311e-06
29,0.0010501742
30,0.006926596
31,0.97117317
32,0.06929943
33,0.98290145
34,0.05753666
35,0.35027307
36,0.035496682
37,0.99904895
38,0.9928398
39,0.0021248162
40,2.5701806e-06
41,0.04502949
42,0.10662097
43,0.0034071803
44,0.27683368
45,0.13000047
46,0.9999998
47,0.090758234
48,2.5701806e-06
49,0.0041926503
50,0.99967384
51,0.9332556
52,0.89586383
53,0.988873
54,0.00057306886
55,0.9998953
56,0.9995864
57,0.014243215
58,0.31280732
59,0.999991
60,0.011060059
61,0.07822034
62,0.0038868785
63,0.99888086
64,0.008990973
65,0.9903804
66,0.06826502
67,0.10932109
68,0.9982611
69,0.9994517
70,0.02089119
71,0.3072363
72,0.99985754
73,0.99732625
74,0.9998513
75,0.06564361
76,0.060123503
77,0.99494284
78,0.9999248
79,0.22824907
80,0.10464913
81,0.71567667
82,0.19167519
83,0.98623943
84,0.99993896
85,0.9992686
86,0.99932134
87,0.9805627
88,0.9999317
89,0.999977
90,0.30632794
91,0.99744165
92,0.99404484
93,0.98821443
94,0.99999714
95,0.9986459
96,0.10511303
97,0.9962497
98,0.0031927228
99,0.9829402
100,0.9999998
101,0.42280853
102,4.578058e-05
103,0.008111209
104,1.2532448e-05
105,0.02803725
106,1.2532448e-05
107,0.0028699934
108,0.003529042
109,0.0024574697
110,0.119927585
111,0.069467574
112,0.020202905
113,0.00032508373
114,1.2532448e-05
115,1.2532448e-05
116,1.2532448e-05
117,0.073531985
118,1.2532448e-05
119,1.2532448e-05
120,0.0016716719
121,0.05858007
122,0.14384648
123,0.00049716234
124,0.022922873
125,0.018087983
126,0.059476644
127,0.013546526
128,0.012492657
129,0.04781279
130,9.308862e-05
131,0.00032508373
132,0.035699636
133,0.029166669
134,0.067433864
135,0.020923197
136,0.99561715
137,0.9995661
138,0.8575483
139,0.9985082
140,0.12634301
141,0.9902427
142,0.9829433
143,0.9966272
144,0.9960083
145,0.9966272
146,0.99930686
147,0.99821305
148,0.99989367
149,0.13308087
150,0.8604814
151,0.99817985
152,0.9997561
153,0.9966272
154,0.9966272
155,0.9991386
156,0.99999905
157,0.426318
158,0.9986326
159,0.9985082
160,0.77430135
161,0.9410293
162,0.9829389
163,0.92821145
164,0.99821305
165,0.9387871
166,0.55471003
167,0.87861156
168,0.9996369
169,0.99997866
170,0.9986843
171,0.9366279
172,0.9999994
173,0.9999995
174,1.0
175,0.033029765
176,0.9955094
177,0.9999994
178,0.025310636
179,0.10150367
180,0.10140914
181,0.30712143
182,0.99999726
183,0.9999994
184,0.0034744442
185,0.16694018
186,0.025310636
187,1.0
188,0.09295496
189,0.0070412755
190,0.9999994
191,0.9999994
192,0.025310636
193,0.025310636
194,0.21032387
195,0.69194394
196,1.0
197,0.9999994
198,0.052966297
199,0.05624625
200,0.014117748
201,0.9999994
202,0.9999994
203,0.99999774
204,0.99999774
205,0.05875519
206,0.020264924
207,0.9999994
208,0.53972197
209,0.063289136
210,0.010982096
211,0.0011302829
212,0.2107656
213,0.02106914
214,0.9318974
215,0.00961712
216,0.03908062
217,0.032366455
218,0.9993232
219,0.05561629
220,0.9993232
221,0.022617102
222,0.0007557273
223,0.8878016
224,0.8930305
225,0.88974273
226,0.08752832
227,0.9895245
228,0.09313768
229,0.5465451
230,0.90372753
231,0.00018578768
232,0.2148146
233,0.030391365
234,0.9839688
235,0.0030714273
236,0.06447351
237,0.015113682
238,0.9993232
239,0.98823607
240,0.032478392
241,0.016487509
242,0.004981816
243,0.98669726
244,0.23991749
245,0.009643555
246,0.37334275
247,0.95532525
248,0.6373211
249,0.8602543
250,0.37334275
251,0.37334275
252,0.2867556
253,0.37334275
254,0.07471764
255,0.00015372038
256,0.98552847
257,0.124185264
258,0.50802505
259,0.37334275
260,0.036318004
261,0.14674246
262,0.124185264
263,0.08742246
264,0.5843714
265,0.3398263
266,0.37334275
267,0.004213214
268,0.032513767
269,0.6373211
270,0.37334275
271,0.37334275
272,0.16533536
273,0.29734945
274,0.00020313263
275,0.0320836
276,0.025760472
277,0.90850353
278,0.021637887
279,0.33116415
280,0.04234165
281,0.33046126
282,0.0022105873
283,0.025760472
284,0.018053323
285,0.23245957
286,0.44397765
287,0.11922231
288,0.07481599
289,0.20938346
290,0.5589482
291,0.15947449
292,0.40707952
293,0.061314195
294,0.9183373
295,0.045206964
296,0.10624832
297,0.00088459253
298,0.09670392
299,0.4826241
300,0.8327874
301,0.4761265
302,0.39367315
303,0.058359474
304,0.25172144
305,0.25172144
306,0.011449546
307,0.034378827
308,0.2302784
309,0.081702024
310,0.0014869869
311,0.021054655
312,0.010977685
313,0.020649016
314,0.1907812
315,0.072390825
316,0.036020607
317,0.25172144
318,0.012925833
319,0.25172144
320,0.03607768
321,0.75292456
322,0.024919033
323,0.75292456
324,0.04800093
325,0.86826426
326,0.004575014
327,0.027360857
328,0.016858697
329,0.17859209
330,0.15098086
331,0.7321419
332,0.40136063
333,0.018692315
334,0.04112941
335,0.009840488
336,0.043971717
337,0.4145354
338,0.032452106
339,0.0051220357
340,0.04954067
341,0.22910354
342,0.86858535
343,0.3135779
344,0.051085502
345,0.043750077
346,0.0056247115
347,0.10793787
348,0.03560677
349,0.0056247115
350,0.0056247115
351,0.10793787
352,0.075918704
353,0.0044538677
354,0.7822462
355,0.016622633
356,0.31135887
357,0.00060749054
358,0.10793787
359,0.00944075
360,0.10793787
361,0.2644425
362,0.0026301146
363,0.03560677
364,0.0056247115
365,0.10793787
366,0.00011453897
367,0.09230587
368,0.044956297
369,0.006888628
370,0.0056247115
371,0.0056247115
372,0.0056247115
373,0.0056247115
374,0.14057359
375,0.9718932
376,0.006888628
377,0.006888628
378,0.10793787
379,0.09230587
380,0.979295
381,0.9891312
382,0.99606735
383,0.0022816956
384,0.59363586
385,0.99999326
386,0.9943611
387,0.9943611
388,0.023612082
389,0.31457585
390,0.0027962625
391,0.9999992
392,0.9701165
393,0.9998339
394,0.99999976
395,0.9998064
396,0.51784956
397,0.8989932
398,0.999998
399,0.9999659
400,0.31457585
401,0.00018802285
402,0.9998064
403,0.9943611
404,0.31457585
405,0.31457585
406,0.9943611
407,0.31457585
408,0.99999905
409,0.98603606
410,0.9999926
411,0.9999992
412,0.58352923
413,0.031931758
414,0.99998903
415,0.007337302
416,0.9999969
417,0.9999992
418,0.002774328
419,0.00010280551
420,0.43011707
421,0.06265494
422,0.033525974
423,0.0027385354
424,0.9996382
425,0.87662506
426,0.019524544
427,0.038243383
428,1.0264813e-05
429,0.28666306
430,0.3113081
431,0.0025241375
432,0.0013441145
433,1.5524877e-09
434,0.99998826
435,0.013194114
436,0.06342688
437,0.81936383
438,0.34499627
439,0.00056147575
440,0.03578475
441,0.11370018
442,2.4727786e-05
443,0.07915318
444,0.7269433
445,0.9445876
446,0.9868957
447,0.0002117753
448,0.98817325
449,0.9999553
450,0.058128774
451,0.9604212
452,1.0
453,0.06424144
454,0.9800482
455,0.99998856
456,1.0
457,0.99829584
458,0.9999997
459,0.99957025
460,0.9947885
461,0.37261167
462,0.9999999
463,0.4989936
464,0.040356845
465,0.1583645
466,0.98755074
467,0.97256505
468,0.9975855
469,0.6541655
470,0.9959391
471,0.86844116
472,0.91642225
473,0.99007046
474,0.98817325
475,0.77705026
476,0.11221117
477,0.046825558
478,0.41061765
479,0.00036165118
480,0.9596175
481,0.026074588
482,0.08927423
483,1.0
484,0.049141884
485,0.021532297
486,0.0071324706
487,0.0024324656
488,0.0740878
489,0.99999535
490,0.9999666
491,0.9999666
492,0.9999666
493,0.98779
494,0.919065
495,0.9999666
496,0.6009349
497,0.0071324706
