,0
0,0.24668093
1,0.2446424
2,0.4741164
3,0.539382
4,0.3556314
5,0.29218763
6,0.62872326
7,0.48811853
8,0.12536114
9,0.17108233
10,0.840272
11,0.33559126
12,0.14994636
13,0.1999176
14,0.50546145
15,0.95237374
16,0.54758143
17,0.46240127
18,0.39792177
19,0.3036892
20,0.35336894
21,0.5643698
22,0.5600578
23,0.4315922
24,0.36328077
25,0.5592475
26,0.40860155
27,0.37815815
28,0.6027165
29,0.24630176
30,0.7787018
31,0.14557008
32,0.2917913
33,0.5006161
34,0.26230994
35,0.14129002
36,0.24018599
37,0.46506408
38,0.28190702
39,0.85059744
40,0.40503493
41,0.5337797
42,0.36986724
43,0.51275235
44,0.39122212
45,0.5600578
46,0.5102971
47,0.52113324
48,0.62872326
49,0.33987746
50,0.37906662
51,0.39631078
52,0.59826744
53,0.31824005
54,0.47713524
55,0.2707866
56,0.9325855
57,0.21356307
58,0.30710253
59,0.3717784
60,0.22264187
61,0.61526453
62,0.101803854
63,0.4466796
64,0.1957838
65,0.5236304
66,0.3783111
67,0.48677334
68,0.94460773
69,0.5256095
70,0.18476132
71,0.64956295
72,0.40903112
73,0.8609523
74,0.34144092
75,0.5112206
76,0.29282635
77,0.10454875
78,0.36555663
79,0.3228791
80,0.42238596
81,0.13728486
82,0.6120068
83,0.34479344
84,0.3926642
85,0.39063033
86,0.27783677
87,0.9375551
88,0.3036892
89,0.15296373
90,0.35571226
91,0.33709326
92,0.41988963
93,0.6977476
94,0.2948863
95,0.6015986
96,0.43945786
97,0.5292953
98,0.40151542
99,0.36868027
100,0.45857787
101,0.45501277
102,0.19182831
103,0.49392903
104,0.583921
105,0.8124144
106,0.54758143
107,0.32299134
108,0.58854276
109,0.53465575
110,0.62970024
111,0.28551203
112,0.21692254
113,0.22264187
114,0.29488945
115,0.15611292
116,0.5624749
117,0.45196083
118,0.60587376
119,0.4665803
120,0.6730678
121,0.5192475
122,0.3327878
123,0.11624635
124,0.54121226
125,0.5131329
126,0.5643698
127,0.58531415
128,0.09007982
129,0.4383809
130,0.4703556
131,0.23766539
132,0.40671837
133,0.24668093
134,0.4778492
135,0.3036892
136,0.5568398
137,0.40103775
138,0.22264187
139,0.46303487
140,0.53386784
141,0.24668093
142,0.25249064
143,0.512106
144,0.48479918
145,0.66738856
146,0.6977476
147,0.3147497
148,0.3290461
149,0.12139056
150,0.63178045
151,0.51973647
152,0.6069512
153,0.48011646
154,0.58531415
155,0.33323383
156,0.28731817
157,0.39631078
158,0.20840268
159,0.5568398
160,0.56377184
161,0.8992799
162,0.42579678
163,0.5125933
164,0.77957875
165,0.49580196
166,0.45904458
167,0.3988406
168,0.8609523
169,0.32365394
170,0.42473364
171,0.55912006
172,0.730287
173,0.37037843
174,0.9419621
175,0.29488945
176,0.53488594
177,0.8609523
178,0.32483166
179,0.36986724
180,0.57898134
181,0.22674635
182,0.44772655
183,0.54758143
184,0.21940596
185,0.24668093
186,0.3669134
187,0.42092896
188,0.24524818
189,0.40339896
190,0.34724486
191,0.314674
192,0.56211454
193,0.75914055
194,0.40588826
195,0.33998686
196,0.24668093
197,0.49340168
198,0.12642749
199,0.44136092
200,0.28731817
201,0.57042557
202,0.1261588
203,0.20127796
204,0.37815815
205,0.5643698
206,0.5115427
207,0.26763308
208,0.13051093
209,0.09858145
210,0.47298363
211,0.28458756
212,0.9375551
213,0.4466796
214,0.54673356
215,0.48950294
216,0.40151542
